Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-14,2030.32,2053.83,1984.06,2005.59,2005.59,17880000
2022-11-15,2018.98,2018.98,1966.93,2002.55,2002.55,18250000
2022-11-16,1974.13,1994.08,1952.71,1981.89,1981.89,15060000
2022-11-17,1982.67,2060.85,1972.19,2039.82,2039.82,10600000
2022-11-18,2036.71,2055.57,2000.58,2019.45,2019.45,9920000
2022-11-21,2032.53,2061.68,2010.09,2040.67,2040.67,9660000
2022-11-22,2045.1,2102.17,2040.26,2073.57,2073.57,13680000
2022-11-23,2072.04,2101.53,2037.53,2044.39,2044.39,18480000
2022-11-24,2044.62,2048.94,1985.41,2016.12,2016.12,11520000
2022-11-25,2017.89,2049.87,2011.33,2031.95,2031.95,8030000
2022-11-28,2035.77,2037.33,2011.11,2016.58,2016.58,6930000
2022-11-29,2021.09,2030.08,1986.24,2018.83,2018.83,10390000
2022-11-30,2027.92,2060.03,2022.24,2040.84,2040.84,10650000
2022-12-01,2058.61,2107.57,2057.95,2107.57,2107.57,12960000
2022-12-02,2090.1,2104.76,2061.69,2076.46,2076.46,7610000
2022-12-05,2079.88,2119.71,2079.88,2093.34,2093.34,6320000
2022-12-06,2083.71,2116.03,2080.76,2084.12,2084.12,6040000
2022-12-07,2081.67,2143.23,2075.21,2135.92,2135.92,6460000
2022-12-08,2135.98,2172.75,2127.25,2160.77,2160.77,7420000
2022-12-09,2169.5,2171.88,2094.92,2111.71,2111.71,12090000
2022-12-12,2119.48,2133.79,2097.39,2127.22,2127.22,4300000
2022-12-13,2138.73,2138.9,2090.35,2116.25,2116.25,8050000
2022-12-14,2114.93,2119.74,2090.11,2091.9,2091.9,4510000
2022-12-15,2092.18,2092.18,2048.32,2052.7,2052.7,10540000
2022-12-16,2048.65,2069.23,2037.5,2057.97,2057.97,19010000
2022-12-19,2070.14,2103.97,2059.28,2059.28,2059.28,8310000
2022-12-20,2035.04,2081.51,2035.04,2078.15,2078.15,5690000
2022-12-21,2085.51,2089.23,2061.68,2082.27,2082.27,4660000
2022-12-22,2078.96,2081.27,2050.76,2065.21,2065.21,6340000
2022-12-23,2064.2,2067.32,2044.06,2059.1,2059.1,5000000
2022-12-27,2064.3,2064.3,2016.73,2022.62,2022.62,5730000
2022-12-28,2016.63,2064.08,2016.46,2056.03,2056.03,7400000
2022-12-29,2062.55,2089.41,2055.68,2085.69,2085.69,4140000
2022-12-30,2079.35,2120.74,2076.31,2108.92,2108.92,5590000
2023-01-02,2114.42,2133.5,2107.93,2126.93,2126.93,3810000
2023-01-03,2131.93,2171.02,2116.15,2123.76,2123.76,10000000
2023-01-04,2141.93,2159.17,2129.0,2152.35,2152.35,7940000
2023-01-05,2154.39,2171.75,2135.06,2151.41,2151.41,9570000
2023-01-09,2171.81,2185.26,2083.95,2110.31,2110.31,14700000
2023-01-10,2112.73,2112.73,2071.28,2089.35,2089.35,9880000
2023-01-11,2097.62,2148.18,2094.7,2116.94,2116.94,14710000
2023-01-12,2136.93,2177.63,2136.93,2162.03,2162.03,12440000
2023-01-13,2171.21,2172.49,2146.06,2151.81,2151.81,5740000
2023-01-16,2163.35,2167.46,2119.74,2163.09,2163.09,5510000
2023-01-17,2165.94,2178.69,2152.34,2170.31,2170.31,5470000
2023-01-18,2168.41,2235.96,2166.68,2215.71,2215.71,7650000
2023-01-19,2206.06,2234.1,2172.98,2217.92,2217.92,7820000
2023-01-20,2225.73,2238.5,2199.11,2213.15,2213.15,3920000
2023-01-23,2229.8,2278.49,2208.49,2276.54,2276.54,8300000
2023-01-24,2295.1,2387.52,2295.1,2315.13,2315.13,13390000
2023-01-25,2322.37,2322.37,2274.04,2298.92,2298.92,6010000
2023-01-26,2333.01,2337.33,2291.35,2310.1,2310.1,4820000
2023-01-27,2312.68,2326.94,2296.66,2311.49,2311.49,5230000
2023-01-30,2308.1,2316.54,2276.13,2306.03,2306.03,5460000
2023-01-31,2306.47,2329.67,2290.28,2311.5,2311.5,8610000
2023-02-01,2315.1,2315.97,2215.54,2215.54,2215.54,14650000
2023-02-02,2272.05,2286.92,2230.76,2237.95,2237.95,6560000
2023-02-03,2234.36,2234.36,2197.53,2200.51,2200.51,6700000
2023-02-06,2200.94,2207.33,2163.25,2168.08,2168.08,5450000
2023-02-07,2181.88,2186.44,2150.59,2178.54,2178.54,4150000
2023-02-08,2199.52,2205.27,2172.36,2195.1,2195.1,4560000
2023-02-09,2199.62,2216.93,2184.07,2203.48,2203.48,4140000
2023-02-10,2197.51,2202.59,2150.18,2186.98,2186.98,7830000
2023-02-13,2191.26,2191.61,2143.2,2154.29,2154.29,5940000
2023-02-14,2155.53,2176.62,2149.45,2164.21,2164.21,4130000
2023-02-15,2171.65,2173.28,2146.44,2163.39,2163.39,3190000
2023-02-16,2183.58,2201.69,2162.12,2177.66,2177.66,3640000
2023-02-17,2166.97,2193.16,2155.94,2193.16,2193.16,3110000
2023-02-20,2198.48,2202.61,2176.26,2195.45,2195.45,1910000
2023-02-21,2189.21,2197.2,2155.3,2164.74,2164.74,2470000
2023-02-22,2157.57,2162.94,2122.47,2134.78,2134.78,6180000
2023-02-23,2139.07,2159.55,2133.93,2159.45,2159.45,3610000
2023-02-24,2164.66,2167.31,2124.94,2137.4,2137.4,3720000
2023-02-27,2140.13,2149.86,2125.21,2141.23,2141.23,3350000
2023-02-28,2139.5,2151.05,2117.06,2144.92,2144.92,6270000
2023-03-01,2158.45,2178.4,2149.76,2156.25,2156.25,5440000
2023-03-02,2145.52,2145.52,2089.3,2089.3,2089.3,9760000
2023-03-03,2081.46,2094.56,2055.42,2089.09,2089.09,9530000
2023-03-06,2100.3,2152.72,2097.47,2151.35,2151.35,6880000
2023-03-07,2152.8,2169.57,2141.54,2148.17,2148.17,8400000
2023-03-08,2139.91,2144.27,2090.3,2120.04,2120.04,10630000
2023-03-09,2124.42,2167.96,2121.64,2155.5,2155.5,8680000
2023-03-10,2128.45,2135.97,2083.44,2128.99,2128.99,10550000
2023-03-13,2132.08,2140.29,2058.81,2085.37,2085.37,7370000
2023-03-14,2080.21,2089.96,2037.59,2054.8,2054.8,7030000
2023-03-15,2062.17,2086.84,2001.93,2010.97,2010.97,8010000
2023-03-16,2026.59,2027.39,1950.24,1999.1,1999.1,10840000
2023-03-17,2016.06,2029.39,1968.35,1986.18,1986.18,16510000
2023-03-20,1979.76,2007.93,1944.03,2006.89,2006.89,5800000
2023-03-21,2018.54,2068.21,2017.0,2061.17,2061.17,5920000
2023-03-22,2059.63,2060.13,2020.23,2032.94,2032.94,5570000
2023-03-23,2025.99,2048.69,1992.43,2039.59,2039.59,3770000
2023-03-24,2024.54,2028.74,1986.42,1993.73,1993.73,7540000
2023-03-27,2006.79,2021.03,1964.16,1980.92,1980.92,3820000
2023-03-28,1992.01,2007.21,1958.03,1960.2,1960.2,5510000
2023-03-29,1975.31,1978.57,1938.37,1960.51,1960.51,6770000
2023-03-30,1966.84,2072.76,1962.63,2061.39,2061.39,9900000
2023-03-31,2068.39,2072.64,2032.29,2040.59,2040.59,5970000
2023-04-03,2046.14,2078.48,2038.06,2044.15,2044.15,7660000
2023-04-04,2052.88,2062.65,2037.2,2044.98,2044.98,5490000
2023-04-05,2052.57,2062.21,2028.52,2038.03,2038.03,5630000
