Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-22,14.62,14.82,14.4,14.44,14.44,130370
2022-12-23,14.5,14.5,14.22,14.34,14.34,26906
2022-12-27,14.34,14.48,14.0,14.02,14.02,57473
2022-12-28,14.0,14.06,13.78,14.0,14.0,150947
2022-12-29,13.92,14.68,13.92,14.0,14.0,30263
2022-12-30,14.28,14.28,13.94,14.02,14.02,24013
2023-01-02,14.0,14.76,13.9,14.72,14.72,17062
2023-01-03,15.06,15.8,15.02,15.2,15.2,58898
2023-01-04,15.14,15.56,15.02,15.1,15.1,49958
2023-01-05,15.24,15.44,14.8,15.0,15.0,49983
2023-01-09,15.1,15.44,15.04,15.08,15.08,30755
2023-01-10,15.34,15.34,15.02,15.08,15.08,30623
2023-01-11,15.22,16.3,15.1,16.06,16.06,225592
2023-01-12,16.18,17.34,16.12,16.7,16.7,245206
2023-01-13,17.08,17.2,16.7,16.8,16.8,70720
2023-01-16,17.2,18.3,16.9,18.0,18.0,326291
2023-01-17,18.2,18.4,17.54,18.1,18.1,109582
2023-01-18,18.18,18.24,17.72,17.92,17.92,56451
2023-01-19,17.9,17.9,17.04,17.3,17.3,73529
2023-01-20,17.8,17.8,17.52,17.6,17.6,23038
2023-01-23,17.9,17.98,17.6,17.7,17.7,51338
2023-01-24,17.88,17.94,17.34,17.44,17.44,63594
2023-01-25,17.58,17.8,17.1,17.2,17.2,26801
2023-01-26,17.3,17.46,17.2,17.3,17.3,33480
2023-01-27,17.38,17.64,17.2,17.4,17.4,31405
2023-01-30,17.52,17.52,17.12,17.2,17.2,15895
2023-01-31,17.36,17.4,17.2,17.22,17.22,28174
2023-02-01,17.3,17.86,17.12,17.12,17.12,34227
2023-02-02,17.4,17.58,17.22,17.4,17.4,22133
2023-02-03,17.38,17.38,16.4,17.0,17.0,54260
2023-02-06,17.14,17.4,16.5,16.68,16.68,53257
2023-02-07,16.68,16.9,16.4,16.48,16.48,54422
2023-02-08,16.68,17.0,16.6,16.94,16.94,32715
2023-02-09,17.0,17.26,16.74,16.8,16.8,22764
2023-02-10,16.8,16.84,16.22,16.8,16.8,27426
2023-02-13,17.08,17.2,16.5,16.6,16.6,23118
2023-02-14,16.6,16.78,16.52,16.6,16.6,21980
2023-02-15,16.88,16.88,16.42,16.54,16.54,30810
2023-02-16,16.84,16.84,16.48,16.6,16.6,9035
2023-02-17,16.6,16.7,16.48,16.6,16.6,20187
2023-02-20,16.6,17.44,16.56,17.0,17.0,78522
2023-02-21,17.18,17.18,16.58,16.7,16.7,30952
2023-02-22,16.7,16.74,16.28,16.3,16.3,26929
2023-02-23,16.56,16.56,16.02,16.16,16.16,37618
2023-02-24,16.2,16.72,16.1,16.14,16.14,86241
2023-02-27,16.3,16.3,15.54,15.74,15.74,82387
2023-02-28,15.74,16.18,15.74,16.16,16.16,47034
2023-03-01,16.3,16.58,15.82,15.82,15.82,84644
2023-03-02,15.98,16.4,15.82,16.4,16.4,34157
