Date,Open,High,Low,Close,Adjusted_close,Volume
2022-06-06,90.5,90.8,90.1,90.7,90.7,2722
2022-06-07,90.1,90.4,89.8,90.0,90.0,653
2022-06-08,89.9,89.9,88.1,88.6,88.6,15351
2022-06-09,88.0,88.5,87.3,87.8,87.8,1277
2022-06-10,87.2,87.3,85.7,86.2,86.2,2437
2022-06-13,85.1,85.6,81.4,83.4,83.4,5331
2022-06-14,83.0,83.8,82.5,82.8,82.8,5694
2022-06-15,82.0,82.0,79.6,80.4,80.4,4338
2022-06-17,79.4,79.9,76.2,79.1,79.1,2841
2022-06-20,79.5,80.8,79.0,80.5,80.5,1854
2022-06-21,80.5,81.9,78.7,81.4,81.4,5008
2022-06-22,82.1,85.1,80.8,82.7,82.7,3645
2022-06-23,82.6,83.2,82.0,82.4,82.4,850
2022-06-24,82.3,85.0,82.3,83.2,83.2,1668
2022-06-27,84.2,87.3,84.0,86.6,86.6,7277
2022-06-28,86.4,86.4,84.2,85.6,85.6,1943
2022-06-29,84.1,85.7,83.4,85.7,85.7,1421
2022-06-30,84.3,85.5,84.2,85.3,85.3,818
2022-07-01,85.5,85.6,84.5,84.7,84.7,752
2022-07-04,84.7,85.1,84.0,84.6,84.6,991
2022-07-05,84.4,84.6,82.1,83.5,83.5,2116
2022-07-06,83.5,83.5,81.5,81.5,81.5,1348
2022-07-07,81.5,83.3,81.5,82.5,82.5,2284
2022-07-08,82.3,82.4,81.4,81.7,81.7,1410
2022-07-11,82.3,83.0,81.7,82.9,82.9,849
2022-07-12,82.4,83.0,81.7,81.9,81.9,3174
2022-07-13,82.7,83.6,82.1,83.0,83.0,2442
2022-07-14,83.0,83.3,82.3,82.8,82.8,602
2022-07-15,83.0,83.5,82.5,83.3,83.3,1740
2022-07-18,83.8,85.5,83.4,85.5,85.5,3934
2022-07-19,85.6,85.6,83.7,83.9,83.9,2104
2022-07-20,84.0,84.4,83.0,83.6,83.6,1495
2022-07-21,84.0,84.4,83.2,83.6,83.6,2591
2022-07-22,84.3,85.0,83.3,85.0,85.0,1605
2022-07-25,85.0,86.3,85.0,86.0,86.0,1246
2022-07-26,86.0,86.0,84.0,85.9,85.9,776
2022-07-27,85.8,85.8,84.6,85.3,85.3,400
2022-07-28,85.4,86.2,85.2,86.0,86.0,820
2022-07-29,86.0,86.6,86.0,86.2,86.2,2091
2022-08-01,86.4,87.0,86.2,86.5,86.5,1849
2022-08-02,86.8,86.9,85.2,85.5,85.5,2050
2022-08-03,85.5,86.9,85.1,86.9,86.9,1311
2022-08-04,86.0,88.3,85.7,88.0,88.0,2809
2022-08-05,88.4,88.7,87.8,88.3,88.3,1797
2022-08-08,88.3,88.3,87.3,87.3,87.3,1815
2022-08-09,88.0,88.5,85.8,87.0,87.0,1448
2022-08-10,87.0,87.6,85.6,86.4,86.4,2018
2022-08-11,87.0,88.0,86.6,88.0,88.0,1194
2022-08-12,88.2,88.3,86.8,87.8,87.8,1123
2022-08-16,87.8,88.2,86.0,87.1,87.1,2953
2022-08-17,87.3,87.6,85.0,85.0,85.0,3025
2022-08-18,85.1,85.7,84.8,84.8,84.8,6997
2022-08-19,84.8,85.7,84.5,85.1,85.1,3025
2022-08-22,85.1,86.4,84.5,85.6,85.6,11475
2022-08-23,80.0,81.4,78.6,79.0,79.0,36271
2022-08-24,79.1,80.2,77.1,77.1,77.1,6452
2022-08-25,77.7,78.0,76.3,76.5,76.5,5170
2022-08-26,77.7,77.7,73.8,74.1,74.1,8315
