Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-02,18.5,18.75,18.25,18.3,18.3,1702
2023-05-04,18.35,18.65,18.3,18.3,18.3,964
2023-05-05,18.35,18.65,18.35,18.45,18.45,199054
2023-05-08,18.5,19.2,18.5,19.1,19.1,9077
2023-05-09,19.3,19.45,19.05,19.4,19.4,2269
2023-05-10,19.2,19.2,18.6,19.1,19.1,3588
2023-05-11,19.15,19.15,18.4,18.45,18.45,2557
2023-05-12,18.45,18.85,18.45,18.5,18.5,950
2023-05-15,18.5,19.0,18.45,18.85,18.85,3072
2023-05-16,19.2,19.3,19.2,19.3,19.3,8534
2023-05-17,19.3,19.6,18.85,19.6,19.6,8910
2023-05-18,19.6,19.6,19.05,19.5,19.5,944
2023-05-19,19.5,19.55,19.35,19.5,19.5,1835
2023-05-22,19.55,19.85,19.5,19.7,19.7,2989
2023-05-23,19.75,19.8,19.5,19.6,19.6,1183
2023-05-24,19.8,19.8,19.0,19.5,19.5,6428
2023-05-25,19.5,19.5,19.0,19.2,19.2,589
2023-05-26,19.2,19.45,19.0,19.35,19.35,988
2023-05-29,19.4,19.4,19.15,19.3,19.3,470
2023-05-30,19.35,19.35,18.95,19.0,19.0,568
2023-05-31,19.2,19.2,18.65,18.65,18.65,3757
2023-06-01,18.6,19.0,18.45,19.0,19.0,3943
2023-06-02,18.5,19.15,18.5,18.7,18.7,3141
2023-06-05,19.1,19.1,17.55,17.75,17.75,18527
2023-06-06,17.95,18.3,17.95,18.2,18.2,5075
2023-06-07,18.2,18.2,18.0,18.15,18.15,1528
2023-06-09,18.15,18.4,18.0,18.4,18.4,1496
2023-06-12,18.05,18.05,17.75,17.8,17.8,2135
2023-06-13,18.0,18.25,17.7,17.7,17.7,16949
2023-06-14,17.9,18.2,17.6,17.95,17.95,4746
2023-06-15,17.95,17.95,17.55,17.9,17.9,2549
2023-06-16,17.8,18.25,17.6,17.6,17.6,4992
2023-06-19,17.6,18.2,17.55,18.0,18.0,1976
2023-06-20,17.95,18.0,17.45,17.85,17.85,6611
2023-06-21,17.85,18.2,17.65,18.1,18.1,3284
2023-06-22,18.1,18.2,17.6,18.0,18.0,9363
2023-06-23,17.95,17.95,17.65,17.65,17.65,1463
2023-06-26,17.6,17.8,17.6,17.8,17.8,569
2023-06-27,17.75,18.05,17.65,18.0,18.0,1445
2023-06-28,17.55,18.0,17.5,17.7,17.7,4567
2023-06-29,17.65,17.8,17.6,17.8,17.8,652
2023-06-30,17.75,17.75,17.5,17.6,17.6,877
2023-07-03,17.65,17.65,17.55,17.55,17.55,284
2023-07-04,17.75,17.95,17.75,17.75,17.75,851
2023-07-05,17.8,17.95,17.65,17.95,17.95,2015
2023-07-06,17.9,17.95,17.8,17.95,17.95,2007
2023-07-07,17.9,17.95,17.7,17.95,17.95,349
2023-07-10,17.75,17.75,17.55,17.7,17.7,730
2023-07-11,17.9,17.9,17.5,17.65,17.65,1189
2023-07-12,17.55,17.95,17.55,17.8,17.8,1828
2023-07-13,17.85,17.95,17.85,17.9,17.9,804
2023-07-14,17.95,18.7,17.9,18.4,18.4,5943
2023-07-17,18.4,18.5,18.0,18.25,18.25,4629
2023-07-18,18.3,18.55,17.8,18.45,18.45,17129
2023-07-19,18.45,18.8,17.95,18.45,18.45,23370
2023-07-20,18.5,18.7,18.45,18.7,18.7,6072
2023-07-21,18.65,18.85,18.6,18.85,18.85,878
2023-07-24,18.95,19.2,18.85,19.15,19.15,27504
2023-07-25,19.15,19.15,18.6,18.8,18.8,1697
2023-07-26,19.0,19.0,18.3,18.35,18.35,777
2023-07-27,18.35,18.75,18.35,18.65,18.65,1053
2023-07-28,18.6,18.6,18.35,18.5,18.5,1275
2023-07-31,18.65,18.65,18.05,18.4,18.4,1344
2023-08-01,18.4,18.45,18.2,18.4,18.4,865
2023-08-02,18.45,18.9,18.2,18.5,18.5,6062
2023-08-03,18.4,18.5,18.1,18.4,18.4,2700
2023-08-04,18.25,18.5,18.25,18.3,18.3,1312
2023-08-07,18.4,18.45,18.3,18.45,18.45,1729
2023-08-08,18.6,18.65,18.2,18.45,18.45,4090
2023-08-09,18.45,18.45,18.25,18.3,18.3,848
2023-08-10,18.3,18.75,18.3,18.7,18.7,1465
2023-08-11,18.7,18.7,18.45,18.5,18.5,604
2023-08-14,18.3,18.65,18.3,18.5,18.5,234
2023-08-16,18.6,18.65,18.3,18.5,18.5,2542
2023-08-17,18.35,18.35,18.2,18.35,18.35,1361
2023-08-18,18.35,18.4,18.05,18.4,18.4,950
2023-08-21,18.4,18.4,18.0,18.0,18.0,956
2023-08-22,18.0,18.2,17.85,18.2,18.2,1362
