Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-06,11.65,11.85,11.4,11.55,11.55,21034
2023-03-07,11.5,11.65,11.35,11.45,11.45,3218
2023-03-08,11.45,11.65,11.4,11.65,11.65,6148
2023-03-09,11.65,11.65,11.4,11.55,11.55,4077
2023-03-10,11.5,11.55,11.35,11.5,11.5,4010
2023-03-13,11.5,11.55,10.7,11.5,11.5,22895
2023-03-14,11.4,11.55,11.3,11.55,11.55,19848
2023-03-15,11.55,11.55,11.3,11.3,11.3,1490
2023-03-16,11.3,11.45,11.15,11.2,11.2,1108
2023-03-17,11.25,11.25,11.0,11.25,11.25,2363
2023-03-20,11.0,11.2,10.75,11.2,11.2,7314
2023-03-21,11.0,11.65,10.85,11.65,11.65,10513
2023-03-22,11.65,11.65,11.45,11.45,11.45,1533
2023-03-23,11.2,11.35,11.1,11.35,11.35,2733
2023-03-24,11.4,11.4,11.0,11.15,11.15,4855
2023-03-27,11.15,11.3,11.0,11.3,11.3,2921
2023-03-28,11.2,11.3,10.8,10.8,10.8,4873
2023-03-29,11.0,11.0,10.75,11.0,11.0,1990
2023-03-30,11.0,11.0,10.1,10.8,10.8,10269
2023-03-31,10.8,10.9,10.55,10.7,10.7,5243
2023-04-03,10.9,10.95,10.5,10.75,10.75,7959
2023-04-04,10.75,10.75,10.5,10.7,10.7,2401
2023-04-05,10.6,11.4,10.55,11.4,11.4,19783
2023-04-06,11.15,11.35,11.1,11.3,11.3,2279
2023-04-11,11.25,11.3,11.0,11.3,11.3,4387
2023-04-12,11.3,11.35,11.1,11.35,11.35,2029
2023-04-13,11.3,11.5,11.25,11.4,11.4,6553
2023-04-14,11.5,11.5,11.25,11.5,11.5,4607
2023-04-17,11.4,11.5,11.35,11.45,11.45,1647
2023-04-18,11.45,11.5,11.25,11.4,11.4,3719
2023-04-19,11.5,11.5,11.2,11.45,11.45,3012
2023-04-20,11.3,11.4,10.85,11.4,11.4,4471
2023-04-21,11.2,11.4,11.15,11.35,11.35,1650
2023-04-24,11.35,11.35,11.1,11.1,11.1,1077
2023-04-25,11.15,11.15,10.7,10.7,10.7,6950
2023-04-26,10.7,10.85,10.65,10.65,10.65,4405
2023-04-27,10.85,10.9,10.7,10.9,10.9,5741
2023-04-28,10.95,10.95,10.7,10.8,10.8,2994
2023-05-02,10.8,10.8,10.5,10.7,10.7,5468
2023-05-04,10.7,10.7,10.1,10.55,10.55,6623
2023-05-05,10.55,10.75,10.5,10.6,10.6,4229
2023-05-08,10.7,11.1,10.65,11.1,11.1,7392
2023-05-09,11.1,11.1,10.85,11.0,11.0,937
2023-05-10,11.0,11.2,10.85,11.1,11.1,4469
2023-05-11,11.2,11.25,10.9,11.15,11.15,3078
2023-05-12,11.15,11.15,10.7,10.95,10.95,5731
2023-05-15,10.9,11.0,10.75,10.95,10.95,3917
2023-05-16,10.95,11.1,10.9,11.1,11.1,2415
2023-05-17,11.1,11.15,10.95,11.1,11.1,902
2023-05-18,11.05,11.1,10.95,11.05,11.05,3687
2023-05-19,11.05,11.1,11.05,11.1,11.1,2197
2023-05-22,11.1,11.25,11.1,11.1,11.1,994
2023-05-23,11.1,11.2,11.0,11.1,11.1,3521
2023-05-24,11.15,11.2,11.0,11.0,11.0,4604
2023-05-25,11.15,11.15,11.0,11.1,11.1,1202
2023-05-26,11.1,11.15,10.95,11.15,11.15,3721
2023-05-29,11.15,11.2,10.6,11.2,11.2,8158
2023-05-30,11.1,11.1,10.4,10.55,10.55,49658
2023-05-31,10.4,10.45,10.0,10.2,10.2,19837
2023-06-01,10.2,10.2,9.9,10.15,10.15,5225
2023-06-02,10.15,10.35,10.15,10.35,10.35,2880
2023-06-05,10.35,10.35,10.1,10.25,10.25,20912
2023-06-06,10.1,10.2,9.94,10.05,10.05,10279
2023-06-07,10.05,10.15,10.0,10.15,10.15,1627
2023-06-09,10.05,10.15,9.88,9.92,9.92,35416
2023-06-12,9.94,9.94,9.74,9.92,9.92,9635
2023-06-13,9.92,10.0,9.72,9.96,9.96,4867
2023-06-14,9.84,10.0,9.84,9.98,9.98,2230
2023-06-15,10.0,10.15,9.98,10.15,10.15,4492
2023-06-16,10.5,11.15,10.5,11.0,11.0,48697
2023-06-19,11.1,11.2,11.05,11.1,11.1,5809
2023-06-20,11.1,11.3,11.0,11.2,11.2,8994
2023-06-21,11.2,11.3,11.05,11.25,11.25,5022
2023-06-22,11.2,11.25,11.1,11.25,11.25,1649
2023-06-23,11.25,11.25,11.0,11.0,11.0,5324
2023-06-26,11.0,11.0,10.35,10.9,10.9,14489
2023-06-27,10.8,10.9,10.7,10.9,10.9,3528
2023-06-28,10.9,11.0,10.85,11.0,11.0,5490
2023-06-29,10.95,10.95,10.8,10.95,10.95,259
2023-06-30,10.95,10.95,10.85,10.9,10.9,12740
2023-07-03,10.9,10.9,10.8,10.9,10.9,2669
2023-07-04,10.85,10.95,10.7,10.7,10.7,7761
2023-07-05,10.7,10.85,10.65,10.85,10.85,4242
2023-07-06,10.65,10.8,10.65,10.7,10.7,2763
2023-07-07,10.7,10.9,10.65,10.9,10.9,544
2023-07-10,10.9,10.95,10.75,10.9,10.9,2050
2023-07-11,10.7,10.85,10.7,10.8,10.8,4529
2023-07-12,10.7,10.8,10.55,10.75,10.75,9756
2023-07-13,10.75,10.8,10.6,10.75,10.75,3044
2023-07-14,10.65,10.75,10.65,10.75,10.75,1228
2023-07-17,10.75,10.8,10.7,10.8,10.8,10831
2023-07-18,10.8,10.9,10.7,10.9,10.9,3425
2023-07-19,10.95,11.1,10.9,11.05,11.05,7348
2023-07-20,11.15,11.15,11.0,11.1,11.1,4232
2023-07-21,11.1,11.1,10.95,11.05,11.05,1369
2023-07-24,11.05,11.1,11.05,11.1,11.1,4588
2023-07-25,11.2,11.25,11.05,11.2,11.2,5255
2023-07-26,11.2,11.2,11.15,11.15,11.15,1752
2023-07-27,11.1,11.25,11.1,11.25,11.25,1487
2023-07-28,11.25,11.35,11.1,11.35,11.35,4795
2023-07-31,11.35,11.55,11.35,11.55,11.55,11446
2023-08-01,11.5,11.55,11.4,11.5,11.5,1863
2023-08-02,11.4,11.45,11.3,11.45,11.45,1119
2023-08-03,11.45,11.5,11.35,11.5,11.5,3133
2023-08-04,11.35,11.45,11.3,11.45,11.45,2986
2023-08-07,11.3,11.45,11.25,11.4,11.4,3566
2023-08-08,11.4,11.4,11.2,11.25,11.25,1775
2023-08-09,11.2,11.25,11.05,11.25,11.25,5514
2023-08-10,11.25,11.4,11.2,11.4,11.4,8006
2023-08-11,11.3,11.5,11.25,11.5,11.5,1973
2023-08-14,11.5,11.65,11.5,11.65,11.65,14444
2023-08-16,11.65,11.65,11.5,11.55,11.55,3052
2023-08-17,11.55,11.55,11.15,11.15,11.15,7128
2023-08-18,11.2,11.25,11.1,11.25,11.25,2675
2023-08-21,11.25,11.25,11.15,11.15,11.15,981
2023-08-22,11.25,11.25,11.0,11.2,11.2,6132
