Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-20,57.95,58.0,57.3,58.0,58.0,2520
2023-02-21,57.8,58.45,57.45,58.45,58.45,5538
2023-02-22,58.6,58.6,55.9,57.8,57.8,6300
2023-02-23,57.9,57.9,57.1,57.65,57.65,2420
2023-02-24,57.25,57.9,57.15,57.5,57.5,3297
2023-02-27,57.95,57.95,56.9,57.5,57.5,2458
2023-02-28,57.05,57.85,55.0,55.8,55.8,9891
2023-03-01,55.6,56.2,55.6,55.85,55.85,3155
2023-03-02,56.15,56.15,55.1,55.3,55.3,3521
2023-03-03,55.95,57.0,54.0,54.8,54.8,7553
2023-03-06,55.0,56.85,55.0,56.75,56.75,3965
2023-03-07,59.1,61.2,58.2,58.25,58.25,23842
2023-03-08,59.3,60.7,59.0,59.8,59.8,5674
2023-03-09,60.1,60.65,57.75,58.8,58.8,7783
2023-03-10,58.0,58.05,57.1,58.0,58.0,4295
2023-03-13,57.2,57.2,55.5,56.0,56.0,5700
2023-03-14,56.0,57.4,56.0,57.3,57.3,2358
2023-03-15,57.45,58.0,54.7,56.0,56.0,7902
2023-03-16,56.6,58.7,56.0,57.0,57.0,5716
2023-03-17,57.45,57.45,56.0,57.0,57.0,2384
2023-03-20,56.7,56.7,54.9,55.5,55.5,4273
2023-03-21,55.5,56.15,55.0,55.8,55.8,3709
2023-03-22,55.8,56.35,55.45,56.35,56.35,2417
2023-03-23,56.35,56.35,54.5,55.85,55.85,3701
2023-03-24,55.1,55.8,54.7,55.65,55.65,2775
2023-03-27,55.0,56.7,54.8,56.0,56.0,8532
2023-03-28,56.0,57.45,55.8,56.1,56.1,3528
2023-03-29,56.05,56.65,55.3,55.55,55.55,4884
2023-03-30,56.0,58.5,55.4,58.5,58.5,4301
2023-03-31,59.0,61.75,58.0,61.5,61.5,17933
2023-04-03,62.0,63.5,61.0,63.4,63.4,9796
2023-04-04,63.45,63.5,61.3,62.5,62.5,9574
2023-04-05,63.6,69.9,63.6,69.5,69.5,45925
2023-04-06,70.0,71.9,70.0,71.25,71.25,18683
2023-04-11,71.25,71.95,70.05,71.25,71.25,7169
2023-04-12,71.3,71.6,71.0,71.35,71.35,5913
2023-04-13,71.05,71.5,70.15,71.05,71.05,12329
2023-04-14,71.05,71.45,70.85,71.3,71.3,5720
2023-04-17,71.0,71.2,66.2,68.0,68.0,12399
2023-04-18,68.0,68.0,66.5,67.45,67.45,5225
2023-04-19,67.5,68.25,67.0,68.25,68.25,2614
2023-04-20,68.7,74.9,67.4,71.6,71.6,22693
2023-04-21,71.8,72.9,70.5,71.8,71.8,4280
2023-04-24,71.5,74.4,71.0,73.0,73.0,14342
2023-04-25,73.8,75.0,73.1,74.4,74.4,6297
2023-04-26,74.8,74.8,73.2,74.5,74.5,4468
2023-04-27,74.8,76.9,73.3,76.0,76.0,6637
2023-04-28,76.0,76.9,71.4,72.5,72.5,13901
2023-05-02,71.1,72.0,67.2,70.7,70.7,17285
2023-05-04,70.0,70.0,66.7,69.3,69.3,9599
2023-05-05,67.1,69.8,67.1,68.7,68.7,5674
2023-05-08,69.9,74.0,69.8,73.0,73.0,9212
2023-05-09,73.0,74.0,72.0,72.5,72.5,7089
2023-05-10,72.5,73.0,68.5,71.3,71.3,4993
2023-05-11,70.4,71.3,68.5,69.6,69.6,7750
2023-05-12,69.6,69.6,68.6,69.0,69.0,3868
2023-05-15,69.0,70.5,68.1,70.0,70.0,4360
2023-05-16,69.9,70.0,68.5,68.6,68.6,2279
2023-05-17,69.3,69.5,68.0,69.4,69.4,1936
2023-05-18,69.3,70.9,68.9,69.0,69.0,8021
2023-05-19,69.1,69.5,68.6,69.2,69.2,1613
2023-05-22,69.5,70.5,67.8,69.4,69.4,3236
2023-05-23,68.8,69.5,68.8,69.0,69.0,1664
2023-05-24,69.0,70.0,68.7,69.7,69.7,2789
2023-05-25,69.7,70.0,69.1,70.0,70.0,3227
2023-05-26,66.9,67.3,64.2,65.0,65.0,16189
2023-05-29,64.0,67.8,62.2,67.3,67.3,15524
2023-05-30,67.5,70.7,67.5,69.0,69.0,8191
2023-05-31,68.5,70.5,67.3,70.2,70.2,21344
2023-06-01,70.1,70.4,69.0,70.0,70.0,2385
2023-06-02,70.1,73.8,69.9,73.0,73.0,13718
2023-06-05,73.4,74.5,73.0,73.6,73.6,8479
2023-06-06,73.4,73.4,72.5,72.5,72.5,1011
2023-06-07,72.5,72.9,71.3,72.9,72.9,2380
2023-06-09,73.0,73.3,70.3,70.6,70.6,3757
2023-06-12,70.7,72.2,68.3,71.6,71.6,10162
2023-06-13,70.1,70.7,70.1,70.5,70.5,673
2023-06-14,71.5,71.5,69.0,69.1,69.1,3589
2023-06-15,69.1,70.4,69.0,70.1,70.1,5164
2023-06-16,69.5,70.9,69.2,70.9,70.9,3528
2023-06-19,70.9,70.9,69.5,70.4,70.4,2649
2023-06-20,70.4,70.9,69.2,69.9,69.9,1777
2023-06-21,70.7,72.9,70.3,72.5,72.5,6651
2023-06-22,72.7,73.8,71.9,73.3,73.3,6523
2023-06-23,73.0,73.0,71.7,73.0,73.0,2565
2023-06-26,72.1,73.8,72.0,72.1,72.1,1957
2023-06-27,72.1,74.0,71.9,74.0,74.0,6053
2023-06-28,74.0,81.0,73.3,77.8,77.8,37142
2023-06-29,78.0,78.0,75.6,75.8,75.8,5278
2023-06-30,75.6,76.5,75.0,75.5,75.5,4157
2023-07-03,75.5,79.0,75.4,76.0,76.0,6614
2023-07-04,77.0,78.5,72.4,73.2,73.2,21897
2023-07-05,73.0,74.6,72.4,74.6,74.6,18845
2023-07-06,74.6,76.9,74.0,75.2,75.2,5039
2023-07-07,75.1,76.4,74.1,75.0,75.0,1756
2023-07-10,75.9,77.9,73.8,77.9,77.9,5384
2023-07-11,77.3,78.0,76.1,77.3,77.3,3739
2023-07-12,77.0,78.5,76.1,78.5,78.5,4348
2023-07-13,78.5,81.3,76.0,80.9,80.9,20931
