Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-04,0.6,0.6,0.6,0.6,0.6,1100
2022-07-05,0.562,0.62,0.562,0.58,0.58,9090
2022-07-06,0.55,0.6,0.55,0.6,0.6,8910
2022-07-07,0.552,0.59,0.552,0.59,0.59,2970
2022-07-08,0.599,0.63,0.599,0.6,0.6,35083
2022-07-11,0.6,0.629,0.6,0.629,0.629,28017
2022-07-12,0.63,0.66,0.621,0.66,0.66,52644
2022-07-13,0.66,0.66,0.616,0.659,0.659,15767
2022-07-14,0.659,0.66,0.659,0.66,0.66,3101
2022-07-15,0.658,0.659,0.62,0.658,0.658,1594
2022-07-18,0.658,0.658,0.658,0.658,0.658,1594
2022-07-19,0.657,0.699,0.626,0.69,0.69,31604
2022-07-20,0.662,0.662,0.65,0.65,0.65,5761
2022-07-21,0.635,0.68,0.635,0.68,0.68,564
2022-07-22,0.669,0.669,0.632,0.65,0.65,8288
2022-07-25,0.63,0.655,0.628,0.655,0.655,6859
2022-07-26,0.655,0.655,0.655,0.655,0.655,6859
2022-07-27,0.63,0.655,0.606,0.655,0.655,2135
2022-07-28,0.606,0.61,0.606,0.61,0.61,3945
2022-07-29,0.61,0.637,0.61,0.637,0.637,640
2022-08-01,0.611,0.637,0.611,0.637,0.637,1219
2022-08-02,0.611,0.637,0.611,0.611,0.611,988
2022-08-03,0.61,0.65,0.61,0.612,0.612,5939
2022-08-04,0.611,0.612,0.56,0.612,0.612,14682
2022-08-05,0.583,0.612,0.583,0.612,0.612,3
2022-08-08,0.58,0.59,0.58,0.59,0.59,2228
2022-08-09,0.6,0.63,0.592,0.628,0.628,13825
2022-08-10,0.6,0.626,0.6,0.626,0.626,14
2022-08-11,0.626,0.684,0.612,0.614,0.614,60610
2022-08-12,0.615,0.615,0.615,0.615,0.615,100
2022-08-16,0.616,0.623,0.616,0.617,0.617,1077
2022-08-17,0.616,0.637,0.586,0.637,0.637,8501
2022-08-18,0.637,0.637,0.637,0.637,0.637,8501
2022-08-19,0.637,0.637,0.637,0.637,0.637,8501
2022-08-22,0.63,0.637,0.592,0.605,0.605,10805
2022-08-23,0.628,0.628,0.591,0.604,0.604,4920
2022-08-24,0.603,0.603,0.603,0.603,0.603,2030
2022-08-25,0.603,0.63,0.588,0.629,0.629,36247
2022-08-26,0.629,0.629,0.629,0.629,0.629,998
2022-08-29,0.6,0.629,0.6,0.6,0.6,852
2022-08-30,0.628,0.628,0.628,0.628,0.628,10
