Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-17,29.74,29.74,27.72,28.175,28.175,3322278
2022-08-18,27.8,28.715,27.33,27.825,27.825,1442749
2022-08-19,27.61,28.0,27.025,27.2,27.2,1706128
2022-08-22,26.94,27.075,26.06,26.095,26.095,1999010
2022-08-23,26.0,26.38,25.56,25.7,25.7,2053804
2022-08-24,25.6,26.01,24.85,25.0,25.0,2477077
2022-08-25,25.55,26.46,25.43,25.8,25.8,1913084
2022-08-26,25.99,26.025,25.0,25.21,25.21,2156835
2022-08-29,24.705,24.88,23.71,24.345,24.345,1810898
2022-08-30,24.6,25.2,23.92,24.12,24.12,1379071
2022-08-31,24.51,25.045,24.25,24.8,24.8,3177837
2022-09-01,24.5,24.98,24.165,24.205,24.205,3029554
2022-09-02,24.8,25.185,24.26,25.105,25.105,1512229
2022-09-05,24.8,25.1,23.74,23.74,23.74,1781361
2022-09-06,24.08,25.1,23.985,24.185,24.185,2036798
2022-09-07,24.2,24.64,23.93,24.36,24.36,2211218
2022-09-08,24.735,25.59,24.54,25.48,25.48,2861373
2022-09-09,25.8,26.695,25.4,26.0,26.0,3181461
2022-09-12,26.405,26.44,25.41,26.185,26.185,2177314
2022-09-13,26.2,27.0,25.55,25.825,25.825,1956685
2022-09-14,25.56,25.9,24.93,25.45,25.45,1480791
2022-09-15,25.4,26.155,25.12,25.885,25.885,1231857
2022-09-16,25.5,25.8,24.865,25.3,25.3,3159662
2022-09-19,25.3,25.85,25.0,25.715,25.715,1327363
2022-09-20,25.92,25.92,25.0,25.085,25.085,1326663
2022-09-21,24.85,26.095,24.68,25.89,25.89,1762268
2022-09-22,25.45,25.85,25.225,25.5,25.5,1463910
2022-09-23,25.5,25.64,24.005,24.66,24.66,2606798
2022-09-26,24.48,25.165,23.98,24.75,24.75,2187660
2022-09-27,25.185,25.6,24.91,25.305,25.305,2646154
2022-09-28,24.9,25.35,24.25,24.5,24.5,2823120
2022-09-29,23.975,23.975,21.9,21.985,21.985,8010278
2022-09-30,22.04,22.305,20.75,21.545,21.545,7860068
2022-10-03,21.5,21.5,20.57,21.235,21.235,2257510
2022-10-04,22.0,22.24,21.385,21.88,21.88,9636913
2022-10-05,21.96,22.0,20.65,20.83,20.83,2197295
2022-10-06,21.1,21.355,20.36,20.585,20.585,5100331
