Date,Open,High,Low,Close,Adjusted_close,Volume
2022-06-22,65.4,65.4,63.6,65.0,62.4867,316
2022-06-23,65.0,65.4,63.2,65.4,62.8712,795
2022-06-24,64.0,65.0,64.0,64.0,61.5253,243
2022-06-27,65.0,65.6,65.0,65.0,62.4867,94
2022-06-28,65.0,65.0,64.0,65.0,62.4867,178
2022-06-29,65.0,65.0,64.8,65.0,62.4867,546
2022-06-30,65.0,65.0,64.4,64.8,62.2944,67
2022-07-01,64.8,64.8,64.2,64.8,62.2944,372
2022-07-04,64.0,65.2,63.0,65.0,62.4867,408
2022-07-05,65.0,65.2,64.0,65.0,62.4867,111
2022-07-06,65.0,65.2,63.0,63.0,60.564,950
2022-07-07,63.0,64.6,62.8,64.4,61.9099,1832
2022-07-08,64.4,64.6,63.4,64.6,62.1021,270
2022-07-11,64.0,64.6,63.2,63.4,60.9485,709
2022-07-12,64.0,64.2,64.0,64.0,61.5253,79
2022-07-13,63.4,64.0,63.2,64.0,61.5253,142
2022-07-14,63.2,64.6,63.2,64.6,62.1021,224
2022-07-15,64.6,64.6,63.4,64.0,61.5253,533
2022-07-18,64.4,64.4,63.6,64.2,61.7176,323
2022-07-19,64.2,64.2,64.2,64.2,61.7176,76
2022-07-20,64.2,64.2,63.8,64.2,61.7176,55
2022-07-21,64.4,64.4,63.6,63.6,61.1408,327
2022-07-22,64.0,64.0,63.4,64.0,61.5253,1575
2022-07-25,64.0,64.0,64.0,64.0,61.5253,60
2022-07-26,64.0,64.0,62.8,62.8,60.3717,2365
2022-07-27,62.8,63.0,62.4,63.0,60.564,846
2022-07-28,63.0,63.2,62.6,62.8,60.3717,1243
2022-07-29,63.0,63.2,62.6,62.8,60.3717,1528
2022-08-01,63.0,63.6,62.6,62.8,60.3717,1256
2022-08-02,63.2,63.2,62.6,62.6,60.1795,648
2022-08-03,63.0,63.0,62.0,62.2,59.7949,834
2022-08-04,63.0,63.0,62.4,62.6,60.1795,369
2022-08-05,62.8,62.8,62.2,62.8,60.3717,440
2022-08-08,63.0,63.2,62.6,62.8,60.3717,647
2022-08-09,63.2,63.2,62.6,62.8,60.3717,1106
2022-08-10,62.8,62.8,62.2,62.8,60.3717,385
2022-08-11,62.8,63.4,61.6,62.0,59.6027,1151
2022-08-12,61.8,62.6,61.8,62.6,60.1795,529
2022-08-16,62.6,62.8,62.4,62.8,60.3717,713
2022-08-17,62.8,62.8,62.2,62.8,60.3717,367
2022-08-18,63.0,63.0,62.0,62.4,59.9872,606
2022-08-19,62.6,63.0,62.0,62.6,60.1795,1112
2022-08-22,62.6,62.6,62.2,62.4,59.9872,254
