Date,Open,High,Low,Close,Adjusted_close,Volume
2021-12-13,117.0,117.0,114.0,114.2,108.9408,3285
2021-12-14,114.6,114.6,112.4,112.6,107.4145,9991
2021-12-15,113.8,113.8,109.6,110.8,105.6974,10305
2021-12-16,111.0,115.4,110.8,113.8,108.5592,8454
2021-12-17,114.8,114.8,109.0,109.0,103.9803,15674
2021-12-20,110.0,113.0,108.6,112.4,107.2237,5336
2021-12-21,112.4,113.0,110.2,110.8,105.6974,3623
2021-12-22,111.0,111.8,109.0,110.4,105.3158,6607
2021-12-23,110.2,110.4,108.0,109.0,103.9803,10957
2021-12-27,108.6,112.8,108.6,112.8,107.6053,9777
2021-12-28,110.0,112.0,109.4,110.6,105.5066,10990
2021-12-29,111.0,114.0,110.6,113.6,108.3684,5061
2021-12-30,113.6,114.0,112.6,113.0,107.7961,2503
2022-01-03,114.0,118.6,114.0,115.6,110.2763,8029
2022-01-04,117.2,117.4,115.2,116.0,110.6579,5809
2022-01-05,115.8,116.8,115.0,116.0,110.6579,2378
2022-01-07,116.8,116.8,114.0,115.2,109.8947,6046
2022-01-10,115.6,116.0,114.2,114.2,108.9408,5588
2022-01-11,115.4,115.6,113.6,114.2,108.9408,5304
2022-01-12,115.8,123.8,114.6,122.0,116.3816,40873
2022-01-13,124.6,127.4,123.4,124.0,118.2895,18771
2022-01-14,124.8,125.0,122.2,122.8,117.1447,7909
2022-01-17,123.6,126.0,122.8,125.0,119.2434,7019
2022-01-18,125.0,125.8,120.4,121.4,115.8092,9509
2022-01-19,121.4,121.4,118.0,118.2,112.7566,12161
2022-01-20,118.2,120.0,116.0,116.0,110.6579,8900
2022-01-21,116.0,116.0,111.0,112.8,107.6053,19788
2022-01-24,113.0,113.0,106.0,106.0,101.1184,31275
2022-01-25,106.6,110.2,105.6,106.0,101.1184,14909
2022-01-26,108.0,111.0,107.0,107.0,102.0724,6744
2022-01-27,108.0,110.0,107.0,110.0,104.9342,6522
2022-01-28,109.2,110.6,106.8,107.2,102.2632,4956
2022-01-31,108.2,110.2,108.0,108.0,103.0263,3967
2022-02-01,111.0,114.4,109.4,110.0,104.9342,6057
2022-02-02,110.6,114.4,110.0,113.0,107.7961,6693
2022-02-03,113.0,113.0,110.2,111.6,106.4605,3601
2022-02-04,111.0,111.0,109.2,109.4,104.3618,4569
2022-02-07,110.0,111.4,108.6,110.0,104.9342,4322
2022-02-08,110.4,110.8,107.8,108.6,103.5987,3521
2022-02-09,109.2,110.6,108.4,108.6,103.5987,2088
2022-02-10,108.6,108.6,106.8,106.8,101.8816,7939
2022-02-11,107.0,107.0,104.6,105.0,100.1645,10875
2022-02-14,105.0,105.0,99.6,102.6,97.875,14317
2022-02-15,102.6,105.8,102.6,104.0,99.2105,5914
2022-02-16,104.6,106.0,103.8,104.6,99.7829,8478
2022-02-17,105.6,105.6,103.0,103.0,98.2566,4437
2022-02-18,104.8,104.8,102.8,103.0,98.2566,2479
2022-02-21,103.0,104.0,100.0,102.0,97.3026,5992
2022-02-22,100.0,104.8,100.0,102.8,98.0658,4806
2022-02-23,104.0,105.4,103.6,103.6,98.8289,3264
2022-02-24,102.0,102.0,86.3,92.0,87.7632,32442
2022-02-25,92.0,100.0,92.0,96.0,91.5789,12303
2022-02-28,92.2,96.9,91.2,96.9,92.4375,9335
2022-03-01,96.9,101.0,96.9,99.0,94.4408,7008
2022-03-02,98.8,99.0,93.7,94.5,90.148,8135
2022-03-03,94.5,94.5,91.4,92.0,87.7632,14086
2022-03-04,91.8,91.8,87.3,89.0,84.9013,15047
2022-03-07,88.0,88.0,81.1,85.0,81.0855,24094
2022-03-08,85.0,85.0,83.8,84.3,80.4178,15856
2022-03-09,85.0,95.0,85.0,94.9,90.5296,18728
2022-03-10,99.6,101.0,92.8,94.0,89.6711,16031
2022-03-11,95.0,99.4,95.0,96.9,92.4375,16487
2022-03-14,99.3,99.7,96.5,98.0,93.4868,4168
2022-03-15,98.0,98.0,96.4,97.0,92.5329,2249
2022-03-16,97.0,98.0,94.6,96.0,91.5789,9179
2022-03-17,97.0,97.9,95.2,95.7,91.2928,5262
2022-03-18,97.5,97.5,95.0,95.0,90.625,17964
2022-03-21,96.0,96.9,95.3,95.8,91.3882,12241
2022-03-22,96.0,98.0,95.9,98.0,93.4868,3517
2022-03-23,99.1,102.8,99.1,101.2,96.5395,10035
2022-03-24,102.0,102.0,99.0,100.0,95.3947,5953
