Date,Open,High,Low,Close,Adjusted_close,Volume
2022-04-25,11.18,11.6,10.94,11.38,11.0501,99807
2022-04-26,11.42,11.42,10.8,10.8,10.487,61387
2022-04-27,10.76,11.32,10.5,11.02,10.7006,82335
2022-04-28,11.18,11.7,11.18,11.48,11.1472,94012
2022-04-29,11.44,11.86,11.32,11.32,10.9919,58547
2022-05-02,11.2,11.42,11.02,11.18,10.8559,41942
2022-05-04,11.42,12.48,11.42,12.1,11.7493,238842
2022-05-05,12.06,13.02,12.06,12.4,12.0406,203340
2022-05-06,12.44,12.64,11.94,12.08,11.7299,141167
2022-05-09,12.9,13.78,12.72,13.2,12.8174,465568
2022-05-10,13.38,13.44,12.4,13.08,12.7009,158811
2022-05-11,13.08,13.22,12.68,13.08,12.7009,68641
2022-05-12,12.8,13.08,12.46,12.54,12.1765,89449
2022-05-13,12.96,13.1,12.42,12.46,12.0988,75775
2022-05-16,12.56,12.8,12.32,12.32,11.9629,77672
2022-05-17,12.56,12.72,12.04,12.28,11.9241,84506
2022-05-18,12.44,12.62,12.1,12.12,11.7687,47947
2022-05-19,12.0,12.42,11.72,11.9,11.5551,92085
2022-05-20,11.92,11.98,11.5,11.56,11.2249,88275
2022-05-23,11.5,11.84,11.5,11.54,11.2055,33798
2022-05-24,11.52,11.94,11.5,11.54,11.2055,82622
2022-05-25,11.6,11.8,11.56,11.78,11.4386,73314
2022-05-26,11.84,12.48,11.8,12.36,12.0017,97654
2022-05-27,12.38,12.38,12.02,12.22,11.8658,44281
2022-05-30,12.3,12.68,12.3,12.38,12.0212,38909
2022-05-31,12.38,12.96,12.38,12.82,12.4484,103341
2022-06-01,12.9,14.48,12.9,14.2,13.7884,395489
2022-06-02,14.24,14.46,13.9,14.26,13.8467,80342
2022-06-03,14.32,14.98,14.28,14.86,14.4293,101390
2022-06-06,14.9,14.98,14.02,14.4,13.9826,51800
2022-06-07,14.4,15.3,14.4,14.74,14.3128,166619
2022-06-08,14.8,15.14,13.9,14.18,13.769,133488
2022-06-09,14.18,14.26,13.9,13.9,13.4971,55960
2022-06-10,13.74,14.62,13.56,13.94,13.5359,109390
2022-06-13,13.8,13.98,13.1,13.38,12.9922,170158
2022-06-14,13.38,13.96,13.38,13.58,13.1864,67415
2022-06-15,13.7,13.76,13.46,13.76,13.3612,43941
2022-06-17,13.68,14.74,13.68,14.38,13.9632,126680
2022-06-20,14.48,14.56,14.12,14.12,13.7107,67992
2022-06-21,14.2,14.5,14.1,14.28,13.8661,24901
2022-06-22,14.28,14.28,13.4,13.76,13.3612,117219
2022-06-23,13.8,14.14,13.44,13.6,13.2058,48640
2022-06-24,13.66,13.96,13.4,13.94,13.5359,52217
2022-06-27,13.98,14.14,13.54,13.78,13.3806,62461
2022-06-28,13.76,14.06,13.76,13.8,13.4,33837
2022-06-29,13.34,13.74,13.22,13.5,13.5,51483
2022-06-30,13.44,13.44,12.7,12.96,12.96,110846
2022-07-01,12.74,13.4,12.6,13.1,13.1,91379
2022-07-04,13.12,13.68,13.02,13.3,13.3,65974
2022-07-05,13.28,13.5,12.8,12.92,12.92,278957
2022-07-06,12.82,12.96,12.7,12.76,12.76,51717
2022-07-07,12.88,13.7,12.7,13.44,13.44,98619
2022-07-08,13.42,13.7,13.26,13.54,13.54,38656
2022-07-11,13.5,14.76,13.24,14.58,14.58,169508
2022-07-12,14.8,15.2,14.6,14.66,14.66,165416
2022-07-13,14.7,14.98,14.12,14.32,14.32,58748
2022-07-14,14.5,14.9,14.14,14.3,14.3,71209
2022-07-15,14.42,14.56,13.92,14.0,14.0,44959
2022-07-18,14.0,14.46,13.86,14.1,14.1,52978
2022-07-19,14.04,14.94,14.04,14.86,14.86,75597
2022-07-20,14.92,15.14,14.72,14.92,14.92,39382
2022-07-21,15.12,15.48,14.92,15.08,15.08,143571
2022-07-22,15.3,15.88,15.1,15.88,15.88,189227
2022-07-25,15.88,16.52,15.58,15.62,15.62,135203
2022-07-26,15.82,16.2,15.62,15.82,15.82,44538
2022-07-27,15.8,16.3,15.44,15.52,15.52,77510
2022-07-28,15.72,16.02,15.66,15.76,15.76,49542
2022-07-29,15.84,16.38,15.8,16.26,16.26,61240
2022-08-01,16.54,18.76,16.5,18.54,18.54,550401
2022-08-02,18.5,18.94,17.82,18.5,18.5,334775
2022-08-03,18.3,19.0,18.3,18.48,18.48,127074
2022-08-04,20.0,20.35,18.82,18.94,18.94,659305
2022-08-05,18.68,18.8,18.1,18.78,18.78,259940
2022-08-08,18.82,19.5,18.44,18.78,18.78,247927
2022-08-09,18.8,19.5,17.84,19.16,19.16,348308
2022-08-10,19.2,19.5,18.52,19.44,19.44,115669
2022-08-11,19.5,20.9,19.44,20.7,20.7,380954
2022-08-12,20.4,21.65,20.3,21.5,21.5,268923
2022-08-16,21.4,23.0,21.3,22.7,22.7,441587
2022-08-17,23.05,23.35,22.1,22.35,22.35,297012
2022-08-18,22.15,23.0,21.7,23.0,23.0,278622
2022-08-19,23.1,23.15,21.55,22.8,22.8,223831
2022-08-22,22.2,22.3,21.35,21.75,21.75,202103
2022-08-23,21.35,22.7,21.2,22.5,22.5,163098
2022-08-24,22.5,22.75,21.25,21.5,21.5,150169
2022-08-25,21.7,21.95,20.0,20.1,20.1,256620
2022-08-26,20.15,20.95,20.1,20.5,20.5,198035
2022-08-29,20.2,20.2,19.12,19.6,19.6,215660
2022-08-30,19.6,20.1,18.76,20.1,20.1,246158
2022-08-31,20.1,20.9,19.38,19.38,19.38,125063
2022-09-01,19.12,19.28,18.34,18.88,18.88,274524
2022-09-02,18.82,19.84,18.52,19.78,19.78,83876
2022-09-05,19.48,19.66,19.02,19.26,19.26,67273
2022-09-06,19.14,19.72,19.02,19.42,19.42,63364
2022-09-07,19.26,19.66,18.94,19.38,19.38,56840
2022-09-08,19.8,21.0,19.8,20.85,20.85,170878
2022-09-09,20.9,21.75,20.75,20.95,20.95,108606
2022-09-12,20.95,22.1,20.95,21.85,21.85,100294
2022-09-13,22.4,22.5,20.3,20.3,20.3,128205
2022-09-14,19.74,21.2,19.32,21.05,21.05,114048
2022-09-15,21.1,21.45,20.85,21.0,21.0,80083
2022-09-16,20.8,21.8,20.8,21.65,21.65,131021
2022-09-19,21.7,22.0,20.8,20.85,20.85,65305
2022-09-20,20.9,21.3,20.6,20.95,20.95,53902
2022-09-21,20.95,20.95,20.15,20.6,20.6,58105
2022-09-22,20.2,20.55,19.6,19.7,19.7,143212
2022-09-23,19.92,19.92,18.88,19.3,19.3,208243
2022-09-26,18.88,18.88,16.52,17.2,17.2,347423
2022-09-27,16.82,17.4,15.82,16.4,16.4,375518
