Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-02,41.5,41.7,41.0,41.7,35.7991,3384
2022-05-04,41.5,41.5,41.1,41.5,35.6274,1605
2022-05-05,41.8,41.8,40.5,40.5,34.7689,6642
2022-05-06,41.0,41.0,39.5,40.0,34.3396,5391
2022-05-09,40.8,40.8,38.9,39.2,33.6528,3836
2022-05-10,38.7,39.0,38.1,39.0,33.4811,5806
2022-05-11,40.1,40.1,38.5,39.1,33.567,957
2022-05-12,39.1,39.1,37.4,38.0,32.6226,2817
2022-05-13,39.0,39.0,38.4,38.8,33.3094,1873
2022-05-16,38.8,39.2,37.9,37.9,32.5368,4755
2022-05-17,38.5,39.0,38.3,38.9,33.3953,9121
2022-05-18,39.0,39.0,38.2,38.2,32.7943,3221
2022-05-19,39.3,39.3,37.8,38.6,33.1377,3491
2022-05-20,40.5,41.0,39.3,39.6,33.9962,5721
2022-05-23,40.4,41.0,40.4,40.8,35.0264,3200
2022-05-24,40.8,40.9,40.5,40.7,34.9406,1425
2022-05-25,41.0,41.1,39.9,40.2,34.5113,4953
2022-05-26,40.2,40.8,40.2,40.6,34.8547,15055
2022-05-27,41.0,41.5,40.7,41.4,35.5415,12200
2022-05-30,41.7,43.0,41.6,42.6,36.5717,5434
2022-05-31,42.6,42.8,42.3,42.8,36.7434,5535
2022-06-01,43.3,43.3,42.0,42.7,36.6575,3654
2022-06-02,43.0,43.0,42.2,42.2,36.2283,2919
2022-06-03,42.6,42.6,42.2,42.2,36.2283,3712
2022-06-06,42.5,42.8,42.1,42.3,36.3142,3942
2022-06-07,42.2,42.4,41.7,42.2,36.2283,7654
2022-06-08,42.5,42.5,41.5,41.8,35.8849,4956
2022-06-09,41.4,41.8,41.0,41.6,35.7132,4250
2022-06-10,41.5,41.5,40.8,41.3,35.4557,8085
2022-06-13,41.2,41.2,40.0,40.5,34.7689,5869
2022-06-14,40.0,40.9,39.8,39.8,34.1679,26425
2022-06-15,40.2,41.3,40.2,40.4,34.683,19952
2022-06-17,40.9,41.3,40.4,41.3,35.4557,14436
2022-06-20,42.0,42.1,41.6,42.1,36.1425,51735
2022-06-21,42.5,42.8,42.1,42.4,36.4,43065
2022-06-22,36.1,37.0,35.5,36.6,36.6,9845
2022-06-23,36.6,36.7,35.0,35.2,35.2,1860
2022-06-24,35.0,35.0,32.5,33.8,33.8,6119
2022-06-27,33.8,34.3,33.8,33.9,33.9,1004
2022-06-28,33.9,34.0,32.8,33.4,33.4,12361
2022-06-29,33.9,33.9,33.0,33.6,33.6,5032
2022-06-30,33.6,33.7,32.9,33.0,33.0,1913
2022-07-01,33.0,33.0,32.0,32.4,32.4,4313
2022-07-04,33.8,33.8,31.0,31.9,31.9,9973
2022-07-05,32.0,32.0,30.5,30.8,30.8,4730
2022-07-06,31.0,31.0,29.2,29.2,29.2,5754
2022-07-07,30.4,31.0,29.8,31.0,31.0,10946
2022-07-08,31.4,31.4,30.9,31.3,31.3,4892
2022-07-11,31.2,31.3,30.7,31.2,31.2,3688
2022-07-12,31.1,31.1,30.3,30.3,30.3,1590
2022-07-13,30.8,30.8,30.0,30.4,30.4,1130
2022-07-14,30.3,30.3,29.4,29.5,29.5,1133
2022-07-15,29.5,30.0,28.9,29.4,29.4,11363
2022-07-18,29.1,30.3,29.0,30.3,30.3,13500
2022-07-19,30.3,30.5,29.9,30.4,30.4,2182
2022-07-20,30.4,30.4,30.0,30.1,30.1,1541
2022-07-21,29.6,30.1,29.6,29.6,29.6,3548
2022-07-22,29.5,30.0,29.1,29.1,29.1,1172
2022-07-25,29.1,30.2,29.1,30.2,30.2,4866
2022-07-26,30.5,30.5,29.9,30.2,30.2,6786
2022-07-27,30.6,31.9,30.1,31.0,31.0,15125
2022-07-28,31.9,31.9,31.3,31.3,31.3,2028
2022-07-29,31.3,31.8,30.9,31.8,31.8,2098
2022-08-01,32.0,32.4,31.8,32.4,32.4,2452
2022-08-02,32.4,33.0,32.4,32.5,32.5,146
2022-08-03,33.0,33.0,32.3,33.0,33.0,1446
2022-08-04,32.9,32.9,31.7,32.4,32.4,1164
