Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-30,6.18,6.26,6.04,6.2,6.2,12137
2022-05-31,6.16,6.16,6.04,6.16,6.16,5320
2022-06-01,6.16,6.2,5.96,6.08,6.08,16308
2022-06-02,6.08,6.08,5.94,6.0,6.0,4745
2022-06-03,5.94,6.08,5.94,6.06,6.06,5532
2022-06-06,6.08,6.1,6.02,6.1,6.1,1557
2022-06-07,6.1,6.1,5.9,6.0,6.0,13340
2022-06-08,5.92,6.08,5.92,6.08,6.08,7952
2022-06-09,6.08,6.08,5.82,5.94,5.94,7939
2022-06-10,5.82,5.96,5.76,5.94,5.94,10649
2022-06-13,5.92,6.5,5.74,6.34,6.34,64375
2022-06-14,6.32,6.64,6.32,6.5,6.5,30711
2022-06-15,6.72,6.96,6.6,6.68,6.68,100941
2022-06-17,6.64,6.7,6.46,6.7,6.7,41961
2022-06-20,6.7,6.74,6.58,6.62,6.62,26726
2022-06-21,6.62,6.74,6.6,6.74,6.74,21570
2022-06-22,6.78,6.9,6.54,6.6,6.6,18793
2022-06-23,6.72,6.74,6.6,6.74,6.74,17068
2022-06-24,6.74,6.84,6.66,6.7,6.7,21085
2022-06-27,6.82,6.84,6.62,6.64,6.64,10444
2022-06-28,6.7,6.7,6.26,6.7,6.7,68431
2022-06-29,6.66,6.7,6.48,6.64,6.64,28161
2022-06-30,6.62,6.62,6.5,6.6,6.6,13926
2022-07-01,6.6,6.72,6.52,6.62,6.62,21183
2022-07-04,6.7,7.46,6.7,7.26,7.26,98563
2022-07-05,7.3,7.48,7.0,7.08,7.08,54915
2022-07-06,7.1,7.22,6.98,7.0,7.0,45897
2022-07-07,7.1,7.28,7.0,7.12,7.12,21011
2022-07-08,7.0,7.1,7.0,7.08,7.08,22100
2022-07-11,7.0,7.42,6.98,7.24,7.24,109213
2022-07-12,7.24,7.24,6.82,7.12,7.12,29385
2022-07-13,7.04,7.12,6.8,6.9,6.9,43814
2022-07-14,6.9,6.92,6.84,6.84,6.84,9695
2022-07-15,6.84,7.04,6.68,6.86,6.86,49933
2022-07-18,6.74,6.86,6.62,6.8,6.8,38577
2022-07-19,6.8,6.86,6.6,6.76,6.76,26070
2022-07-20,6.78,6.78,6.66,6.72,6.72,11978
2022-07-21,6.7,6.74,6.56,6.72,6.72,16098
2022-07-22,6.72,6.76,6.68,6.72,6.72,21168
2022-07-25,6.72,6.82,6.7,6.8,6.8,38576
2022-07-26,7.16,7.36,6.96,7.14,7.14,194188
2022-07-27,7.12,7.12,6.9,6.9,6.9,56626
2022-07-28,6.98,7.14,6.96,7.06,7.06,22343
2022-07-29,7.08,7.7,7.08,7.4,7.4,175066
2022-08-01,7.4,7.54,7.24,7.36,7.36,80005
2022-08-02,7.36,7.44,7.1,7.2,7.2,79283
2022-08-03,7.18,7.28,7.0,7.12,7.12,51043
2022-08-04,7.08,7.18,6.98,7.04,7.04,56133
2022-08-05,7.08,7.18,7.08,7.16,7.16,24530
2022-08-08,7.16,8.1,7.16,7.88,7.88,199047
2022-08-09,7.98,8.18,7.72,7.98,7.98,80989
2022-08-10,7.98,7.98,7.74,7.86,7.86,30024
2022-08-11,7.88,7.98,7.78,7.98,7.98,53373
2022-08-12,7.98,7.98,7.78,7.86,7.86,18022
2022-08-16,7.86,7.86,7.6,7.76,7.76,40769
2022-08-17,7.82,7.82,7.58,7.7,7.7,34216
2022-08-18,7.78,7.8,7.6,7.76,7.76,27111
2022-08-19,7.7,7.76,7.56,7.62,7.62,31026
2022-08-22,7.6,7.66,7.3,7.54,7.54,36715
2022-08-23,7.52,7.64,7.4,7.42,7.42,19973
2022-08-24,7.46,7.48,7.3,7.42,7.42,19387
2022-08-25,7.46,7.58,7.28,7.4,7.4,40143
2022-08-26,7.3,7.42,7.24,7.4,7.4,16583
2022-08-29,7.4,7.46,7.18,7.32,7.32,30680
2022-08-30,7.38,7.44,7.14,7.2,7.2,31734
2022-08-31,7.16,7.2,7.02,7.12,7.12,28888
2022-09-01,7.12,7.12,6.76,6.88,6.88,34286
2022-09-02,6.8,6.9,6.78,6.8,6.8,18072
2022-09-05,6.68,6.8,6.62,6.7,6.7,14501
2022-09-06,6.64,6.7,6.52,6.52,6.52,15568
2022-09-07,6.52,6.58,6.22,6.5,6.5,33213
2022-09-08,6.5,6.66,6.5,6.52,6.52,26661
2022-09-09,6.6,6.8,6.5,6.56,6.56,34548
2022-09-12,6.56,6.8,6.56,6.72,6.72,23466
2022-09-13,6.8,6.96,6.62,6.94,6.94,40240
2022-09-14,6.92,6.94,6.82,6.88,6.88,10733
2022-09-15,6.84,6.92,6.8,6.9,6.9,8366
2022-09-16,6.9,6.92,6.78,6.8,6.8,6447
2022-09-19,6.76,6.82,6.64,6.82,6.82,3136
2022-09-20,6.82,6.88,6.74,6.78,6.78,13582
2022-09-21,6.76,6.78,6.52,6.66,6.66,10321
2022-09-22,6.54,6.82,6.48,6.8,6.8,22360
2022-09-23,6.78,6.78,6.44,6.58,6.58,14137
2022-09-26,6.5,6.56,6.04,6.38,6.38,36650
2022-09-27,6.2,6.26,5.64,5.96,5.96,93958
2022-09-28,5.94,6.0,5.74,5.88,5.88,27054
2022-09-29,5.8,5.88,5.58,5.58,5.58,12512
2022-09-30,5.66,5.7,5.24,5.66,5.66,54993
2022-10-03,5.68,5.86,5.42,5.68,5.68,25785
2022-10-04,5.5,5.76,5.5,5.66,5.66,33667
2022-10-05,5.54,5.68,5.54,5.68,5.68,3718
2022-10-06,5.74,6.08,5.74,6.06,6.06,25728
2022-10-07,6.06,6.34,6.06,6.3,6.3,12570
2022-10-10,6.32,6.32,6.0,6.0,6.0,3927
2022-10-11,6.08,6.1,5.94,6.08,6.08,5710
2022-10-12,6.0,6.3,6.0,6.26,6.26,6913
2022-10-13,6.28,6.36,6.14,6.24,6.24,13917
2022-10-14,6.26,6.28,6.16,6.16,6.16,839
2022-10-17,6.16,6.3,6.14,6.26,6.26,2056
2022-10-18,6.28,6.48,6.28,6.32,6.32,64895
2022-10-19,6.3,6.34,5.98,6.08,6.08,12348
2022-10-20,6.08,6.08,5.88,6.02,6.02,8296
2022-10-21,6.0,6.08,5.92,6.06,6.06,6630
2022-10-24,6.06,6.16,5.98,6.08,6.08,5456
2022-10-25,6.08,6.12,5.96,6.12,6.12,5898
2022-10-26,6.1,6.92,6.1,6.7,6.7,56849
2022-10-27,6.68,6.8,6.6,6.76,6.76,22210
2022-10-28,6.76,7.0,6.7,6.86,6.86,25754
2022-10-31,6.96,7.02,6.84,6.9,6.9,13991
2022-11-02,7.2,7.26,7.0,7.0,7.0,53745
2022-11-03,7.0,7.0,6.7,6.9,6.9,20128
2022-11-04,6.9,7.28,6.9,7.14,7.14,56929
2022-11-07,7.12,7.42,7.12,7.42,7.42,49918
2022-11-08,7.44,7.6,7.44,7.6,7.6,85391
2022-11-09,7.68,7.86,7.5,7.84,7.84,102937
2022-11-10,7.84,8.38,7.7,8.38,8.38,147078
2022-11-14,8.44,8.66,7.9,8.4,8.4,107170
2022-11-15,8.48,8.5,7.92,8.36,8.36,56642
2022-11-16,8.2,8.7,8.06,8.7,8.7,98077
2022-11-17,8.7,9.1,8.68,8.82,8.82,99564
2022-11-18,9.04,9.1,7.22,7.42,7.42,531435
2022-11-21,7.4,7.4,7.04,7.12,7.12,71299
2022-11-22,7.04,7.4,6.98,7.36,7.36,67818
2022-11-23,7.36,7.52,7.22,7.24,7.24,47231
2022-11-24,7.3,7.48,7.3,7.32,7.32,14936
2022-11-25,7.3,7.4,7.22,7.32,7.32,12175
2022-11-28,7.26,7.32,7.2,7.24,7.24,16242
2022-11-29,7.24,7.4,7.16,7.28,7.28,22937
2022-11-30,7.3,7.4,6.98,7.04,7.04,53920
2022-12-01,7.1,7.18,6.62,7.14,7.14,52353
2022-12-02,7.12,7.18,7.08,7.18,7.18,13574
2022-12-05,7.12,7.44,7.1,7.38,7.38,24942
2022-12-06,7.38,7.52,7.14,7.42,7.42,11987
2022-12-07,7.46,7.46,7.22,7.32,7.32,4046
2022-12-08,7.3,7.44,7.16,7.16,7.16,8368
2022-12-09,7.16,7.36,7.1,7.32,7.32,13954
2022-12-12,7.32,7.32,7.12,7.28,7.28,14027
2022-12-13,7.34,7.4,6.76,7.1,7.1,108289
2022-12-14,7.02,7.16,7.0,7.04,7.04,26805
2022-12-15,7.02,7.02,6.88,6.9,6.9,23424
2022-12-16,6.9,6.9,6.72,6.82,6.82,17593
2022-12-19,6.76,6.94,6.7,6.86,6.86,16333
2022-12-20,6.8,6.88,6.74,6.86,6.86,10210
2022-12-21,6.84,6.92,6.7,6.9,6.9,19696
2022-12-22,6.88,7.2,6.76,7.08,7.08,43178
2022-12-23,7.12,7.2,7.06,7.1,7.1,11269
2022-12-27,7.1,7.1,6.72,7.0,7.0,60464
2022-12-28,7.04,7.08,6.84,6.94,6.94,34106
2022-12-29,6.94,7.22,6.88,7.02,7.02,42975
2022-12-30,7.08,7.26,6.92,7.2,7.2,10849
2023-01-02,7.28,7.5,7.28,7.46,7.46,39726
2023-01-03,7.38,7.7,7.38,7.56,7.56,23565
2023-01-04,7.56,7.68,7.5,7.5,7.5,16939
2023-01-05,7.5,7.54,7.32,7.48,7.48,12707
2023-01-09,7.48,7.58,7.24,7.58,7.58,23147
2023-01-10,7.6,7.7,7.5,7.62,7.62,19411
2023-01-11,7.64,7.72,7.44,7.58,7.58,18070
2023-01-12,7.58,7.6,7.4,7.44,7.44,15823
2023-01-13,7.52,7.6,7.44,7.52,7.52,10925
2023-01-16,7.6,7.6,7.42,7.56,7.56,20452
2023-01-17,7.6,7.62,7.5,7.6,7.6,16454
2023-01-18,7.6,7.7,7.5,7.68,7.68,15439
2023-01-19,7.68,7.7,7.36,7.48,7.48,11474
2023-01-20,7.56,7.56,7.04,7.36,7.36,26749
2023-01-23,7.4,7.48,7.34,7.46,7.46,11023
2023-01-24,7.44,7.48,7.38,7.46,7.46,11211
2023-01-25,7.46,7.46,7.26,7.38,7.38,22532
2023-01-26,7.36,7.42,7.28,7.4,7.4,12343
2023-01-27,7.4,7.4,7.32,7.4,7.4,3883
2023-01-30,7.44,7.46,7.36,7.46,7.46,14384
2023-01-31,7.44,7.8,7.42,7.72,7.72,94272
2023-02-01,7.82,8.1,7.78,8.04,8.04,62686
2023-02-02,8.0,8.14,7.8,8.0,8.0,65029
2023-02-03,8.0,8.14,7.86,8.08,8.08,28007
2023-02-06,8.12,8.14,8.0,8.04,8.04,36548
2023-02-07,8.04,8.08,7.96,8.08,8.08,29515
2023-02-08,8.1,8.14,8.04,8.14,8.14,21891
2023-02-09,8.1,8.6,8.1,8.32,8.32,50952
2023-02-10,8.3,8.36,8.1,8.26,8.26,30150
2023-02-13,8.26,8.36,8.14,8.34,8.34,18694
2023-02-14,8.26,8.5,8.16,8.4,8.4,23236
2023-02-15,8.4,8.42,8.24,8.38,8.38,20470
2023-02-16,8.36,8.42,8.24,8.36,8.36,8903
2023-02-17,8.3,8.34,8.2,8.26,8.26,13845
2023-02-20,8.26,8.36,8.26,8.34,8.34,70826
2023-02-21,8.36,8.7,8.3,8.66,8.66,34637
2023-02-22,8.78,8.8,8.44,8.7,8.7,26383
2023-02-23,8.66,8.8,8.54,8.66,8.66,5549
2023-02-24,8.76,8.86,8.6,8.68,8.68,22840
2023-02-27,8.72,9.14,8.7,9.04,9.04,67379
2023-02-28,9.02,9.28,9.02,9.1,9.1,37483
2023-03-01,9.0,9.14,8.92,9.0,9.0,25850
