Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-28,9265,9440,9065,9210,9210,1809
2022-07-29,9395,9925,9300,9885,9885,1495
2022-08-01,9965,9965,9650,9940,9940,1051
2022-08-02,9705,9855,9450,9550,9550,759
2022-08-03,9495,9590,9205,9280,9280,1212
2022-08-04,9320,9550,9020,9165,9165,1470
2022-08-05,9175,9320,8910,8910,8910,1344
2022-08-08,9010,9405,9010,9330,9330,1395
2022-08-09,9375,9405,9025,9105,9105,933
2022-08-10,9110,9425,8950,9340,9340,1578
2022-08-11,9345,9430,9275,9380,9380,993
2022-08-12,9400,9550,9360,9530,9530,2103
2022-08-16,9530,9850,9485,9735,9735,2598
2022-08-17,9795,9795,9310,9320,9320,1354
2022-08-18,9320,9630,9320,9605,9605,875
2022-08-19,9440,9890,9415,9680,9680,1550
2022-08-22,9440,9720,9425,9525,9525,1075
2022-08-23,9525,9740,9470,9615,9615,1124
2022-08-24,9515,9785,9480,9500,9500,985
2022-08-25,9650,9820,9565,9600,9600,933
2022-08-26,9670,9740,9515,9595,9595,2079
2022-08-29,9600,9600,9060,9095,9095,2234
2022-08-30,9220,9265,8400,8500,8500,2002
2022-08-31,8595,8705,8105,8490,8490,3424
2022-09-01,8505,8615,8215,8215,8215,3848
2022-09-02,8435,8575,8210,8380,8380,6087
2022-09-05,8320,8580,8300,8330,8330,921
2022-09-06,8495,8500,7820,7860,7860,1692
2022-09-07,7750,8500,7700,8500,8500,3245
2022-09-08,8595,8670,8330,8505,8505,4199
2022-09-09,8510,8680,8400,8675,8675,1804
2022-09-12,8705,8740,8305,8545,8545,1561
2022-09-13,8640,8645,8200,8210,8210,2752
2022-09-14,8225,8400,8070,8355,8355,3015
2022-09-15,8355,8505,8285,8440,8440,2987
2022-09-16,8350,8510,8200,8225,8225,6662
2022-09-19,8225,8550,8225,8530,8530,1356
2022-09-20,8530,8530,8300,8325,8325,1417
2022-09-21,8305,8540,8265,8470,8470,1746
2022-09-22,8345,8890,8325,8800,8800,1674
2022-09-23,8805,8805,8300,8300,8300,1889
2022-09-26,8250,8485,8115,8235,8235,1832
2022-09-27,8240,8695,8180,8610,8610,1950
2022-09-28,8410,8550,8180,8180,8180,3873
2022-09-29,8200,8260,7805,7805,7805,3042
2022-09-30,7995,7995,7695,7795,7795,2726
2022-10-03,7990,7990,7565,7735,7735,1898
2022-10-04,7915,8200,7755,8180,8180,5404
2022-10-05,8200,8260,7915,8030,8030,1827
2022-10-06,8200,8830,8120,8275,8275,3472
2022-10-07,8195,8520,8165,8250,8250,2058
2022-10-10,8085,8375,8025,8155,8155,3347
2022-10-11,8115,8440,8025,8040,8040,3663
2022-10-12,8125,8190,7825,7825,7825,3289
2022-10-13,7825,7845,7300,7360,7360,5978
2022-10-14,7500,7850,7195,7850,7850,9743
2022-10-17,7850,7945,7555,7875,7875,2779
2022-10-18,7925,8040,7800,7900,7900,1865
2022-10-19,7900,7970,7655,7780,7780,1420
2022-10-20,7685,7905,7685,7770,7770,1353
2022-10-21,7770,7795,7605,7680,7680,1139
2022-10-24,7770,8050,7670,7930,7930,1764
2022-10-25,8020,8115,7875,8110,8110,1842
2022-10-26,8100,8420,8040,8420,8420,1567
2022-10-27,8470,8470,8205,8460,8460,2252
2022-10-28,8460,8460,8215,8250,8250,2085
2022-10-31,8300,8325,8120,8290,8290,2465
2022-11-02,8370,8370,7950,8175,8175,4635
2022-11-03,8095,8100,7930,8100,8100,1956
2022-11-04,8105,8380,8050,8175,8175,2371
2022-11-07,8180,8800,8010,8795,8795,3474
2022-11-08,8700,8880,8515,8825,8825,2151
2022-11-09,8825,9010,8655,8765,8765,2268
2022-11-10,8770,9195,8415,9165,9165,3440
2022-11-14,9245,9890,9115,9800,9800,4965
2022-11-15,9850,9970,9540,9825,9825,3267
2022-11-16,9600,9900,9515,9835,9835,2168
2022-11-17,9700,9840,9125,9180,9180,2929
2022-11-18,9250,9435,8920,9250,9250,2140
2022-11-21,9130,9245,8920,9100,9100,2162
2022-11-22,9050,9345,8845,9220,9220,1623
2022-11-23,9220,9355,9020,9020,9020,980
2022-11-24,9185,9390,8935,9335,9335,1272
2022-11-25,9205,9515,9010,9390,9390,1653
2022-11-28,9270,9345,9075,9100,9100,1622
2022-11-29,9100,9540,9100,9435,9435,2856
2022-11-30,9540,9665,9305,9565,9565,5405
2022-12-01,9695,9770,9510,9655,9655,2316
2022-12-02,9690,9725,9400,9600,9600,3328
