Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-14,13.6,13.78,13.6,13.78,13.5403,1824
2022-10-17,13.6,13.76,13.34,13.66,13.4224,1930
2022-10-18,13.56,13.74,13.56,13.6,13.3635,628
2022-10-19,13.6,13.7,13.42,13.5,13.2652,1336
2022-10-20,13.6,13.6,13.5,13.6,13.3635,1338
2022-10-21,13.6,13.74,13.5,13.66,13.4224,8007
2022-10-24,13.6,13.64,13.34,13.64,13.4028,1950
2022-10-25,13.64,13.64,13.4,13.56,13.3242,3974
2022-10-26,13.54,13.6,13.4,13.48,13.2456,1158
2022-10-27,13.62,13.66,13.56,13.66,13.4224,847
2022-10-28,13.6,13.78,13.46,13.76,13.5207,3896
2022-10-31,13.76,13.84,13.56,13.82,13.5797,5038
2022-11-02,13.82,14.08,13.82,14.06,13.8155,6179
2022-11-03,14.0,14.0,13.7,13.7,13.4617,3287
2022-11-04,13.9,14.14,13.74,14.1,13.8548,7511
2022-11-07,14.2,14.5,14.1,14.3,14.0513,7465
2022-11-08,14.3,14.46,14.1,14.46,14.2085,4571
2022-11-09,14.44,14.46,14.12,14.4,14.1496,3194
2022-11-10,14.4,14.66,14.2,14.66,14.405,3192
2022-11-14,14.9,15.0,14.72,14.98,14.7195,5661
2022-11-15,15.0,15.0,14.76,14.88,14.6212,4196
2022-11-16,14.76,15.0,14.6,14.76,14.5033,2328
2022-11-17,14.58,14.58,14.2,14.22,13.9727,5674
2022-11-18,14.28,14.6,14.1,14.58,14.3264,4786
2022-11-21,14.56,14.68,14.46,14.62,14.3657,655
2022-11-22,15.36,15.36,15.02,15.3,15.0339,6526
2022-11-23,15.3,15.36,15.08,15.2,14.9357,2021
2022-11-24,15.14,15.28,15.08,15.1,14.8374,4317
2022-11-25,15.04,15.04,14.9,15.04,14.7784,1783
2022-11-28,15.0,15.04,14.48,14.8,14.5426,2203
2022-11-29,15.0,15.04,14.66,14.76,14.5033,2785
2022-11-30,14.7,15.04,14.7,15.04,14.7784,2927
2022-12-01,15.04,15.2,14.9,15.18,14.916,2622
2022-12-02,15.18,15.18,14.96,15.18,14.916,2254
2022-12-05,15.18,15.24,14.9,15.14,14.8767,6946
2022-12-06,15.14,15.16,14.7,14.7,14.4443,10187
2022-12-07,14.7,15.0,14.4,14.8,14.5426,4755
2022-12-08,14.96,15.0,14.5,14.7,14.4443,3017
2022-12-09,14.94,14.94,14.54,14.76,14.5033,1852
2022-12-12,14.8,14.8,14.54,14.78,14.523,3843
2022-12-13,14.78,14.78,14.4,14.68,14.4247,7864
2022-12-14,14.6,14.7,14.46,14.46,14.2085,4883
2022-12-15,14.54,14.54,13.6,14.4,14.1496,10450
2022-12-16,14.4,14.4,14.0,14.18,13.9334,3149
2022-12-19,14.1,14.1,14.0,14.1,13.8548,7748
2022-12-20,14.1,14.18,14.04,14.06,13.8155,2030
2022-12-21,14.06,14.16,13.96,14.0,13.7565,7134
2022-12-22,14.0,14.08,13.86,13.92,13.6779,14173
2022-12-23,13.8,13.9,13.7,13.72,13.4814,10615
2022-12-27,13.68,13.72,13.3,13.3,13.0687,24440
2022-12-28,13.48,13.5,13.24,13.44,13.2063,18980
2022-12-29,13.5,13.8,13.5,13.7,13.4617,3444
2022-12-30,13.82,14.0,13.7,13.92,13.6779,3336
2023-01-02,13.92,14.42,13.84,14.42,14.1692,4043
2023-01-03,14.4,14.5,14.3,14.32,14.071,4474
2023-01-04,14.5,14.78,14.5,14.78,14.523,13781
2023-01-05,14.8,14.98,14.7,14.98,14.7195,65957
2023-01-09,15.0,15.0,14.8,14.98,14.7195,4356
2023-01-10,14.98,15.0,14.84,14.88,14.6212,8511
2023-01-11,14.96,15.0,14.84,14.96,14.6998,9862
2023-01-12,14.98,15.0,14.8,14.94,14.6802,5666
2023-01-13,14.54,14.76,14.36,14.7,14.4443,19285
2023-01-16,14.68,14.68,14.4,14.6,14.3461,8788
2023-01-17,14.58,14.62,14.42,14.5,14.2478,1852
2023-01-18,14.5,14.62,14.4,14.58,14.3264,3850
2023-01-19,14.46,14.56,13.44,13.7,13.4617,40614
2023-01-20,13.56,13.98,13.5,13.6,13.3635,21640
2023-01-23,13.5,13.94,13.48,13.86,13.619,19462
2023-01-24,13.9,14.3,13.9,14.26,14.012,11899
2023-01-25,14.28,14.28,13.9,14.0,13.7565,8913
2023-01-26,14.0,14.28,14.0,14.2,13.953,4230
2023-01-27,14.1,14.2,13.92,14.2,13.953,5996
2023-01-30,14.04,14.18,13.66,13.86,13.619,8401
