Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-15,1761.1,1766.16,1702.2,1707.42,-1,-1,0,0
2023-03-16,1718.65,1727.07,1669.53,1706.55,-1,-1,0,0
2023-03-17,1716.42,1730.29,1671.67,1678.16,-1,-1,0,0
2023-03-20,1671.55,1689.36,1626.01,1686.56,-1,-1,0,0
2023-03-21,1694.95,1724.01,1694.95,1719.16,-1,-1,0,0
2023-03-22,1721.09,1732.74,1704.93,1707.29,-1,-1,0,0
2023-03-23,1706.81,1714.42,1680.9,1705.91,-1,-1,0,0
2023-03-24,1700.07,1700.07,1661.51,1670.18,-1,-1,0,0
2023-03-27,1684.13,1695.07,1665.93,1686.96,-1,-1,0,0
2023-03-28,1694.46,1712.77,1686.26,1694.12,-1,-1,0,0
2023-03-29,1701.93,1712.3,1685.64,1709.39,-1,-1,0,0
2023-03-30,1715.56,1764.19,1715.56,1763.29,-1,-1,0,0
2023-03-31,1768.95,1776.97,1754.07,1758.56,-1,-1,0,0
2023-04-03,1764.92,1795.3,1764.92,1775.99,-1,-1,0,0
2023-04-04,1785.64,1797.89,1772.43,1773.53,-1,-1,0,0
2023-04-05,1772.8,1776.32,1752.7,1756.95,-1,-1,0,0
2023-04-06,1759.34,1766.0,1749.0,1754.24,-1,-1,0,0
2023-04-11,1765.72,1789.07,1758.63,1783.31,-1,-1,0,0
2023-04-12,1785.83,1820.15,1773.58,1816.28,-1,-1,0,0
2023-04-13,1814.17,1846.34,1808.35,1840.77,-1,-1,0,0
2023-04-14,1846.46,1865.17,1844.08,1854.27,-1,-1,0,0
2023-04-17,1861.54,1869.58,1854.76,1861.85,-1,-1,0,0
2023-04-18,1863.8,1910.96,1859.82,1896.92,-1,-1,0,0
2023-04-19,1893.31,1901.65,1871.52,1896.87,-1,-1,0,0
2023-04-20,1898.29,1926.26,1896.15,1911.19,-1,-1,0,0
2023-04-21,1903.8,1903.8,1882.76,1900.63,-1,-1,0,0
2023-04-24,1897.12,1918.6,1883.77,1910.52,-1,-1,0,0
2023-04-25,1907.98,1911.87,1887.85,1890.69,-1,-1,0,0
2023-04-26,1891.3,1902.64,1870.09,1888.61,-1,-1,0,0
2023-04-27,1893.04,1951.53,1893.04,1948.07,-1,-1,0,0
2023-04-28,1953.29,1954.79,1917.31,1923.09,-1,-1,0,0
2023-05-02,1921.51,1953.64,1919.23,1919.24,-1,-1,0,0
2023-05-04,1920.08,1933.14,1879.78,1884.32,-1,-1,0,0
2023-05-05,1890.37,1914.65,1885.44,1912.37,-1,-1,0,0
2023-05-08,1918.18,1936.58,1913.67,1922.08,-1,-1,0,0
2023-05-09,1919.31,1920.79,1902.81,1919.92,-1,-1,0,0
2023-05-10,1926.84,1954.53,1912.32,1931.94,-1,-1,0,0
2023-05-11,1935.51,1944.56,1914.17,1918.71,-1,-1,0,0
2023-05-12,1923.98,1950.54,1917.43,1939.03,-1,-1,0,0
2023-05-15,1949.06,1958.76,1932.34,1940.63,-1,-1,0,0
2023-05-16,1937.44,1960.63,1931.65,1948.83,-1,-1,0,0
2023-05-17,1945.87,1945.95,1928.07,1933.08,-1,-1,0,0
