Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-23,6.6,6.6,6.2,6.2,6.0988,24884
2023-05-24,6.36,6.36,5.94,6.24,6.1382,24993
2023-05-25,6.22,6.22,6.04,6.16,6.0595,3379
2023-05-26,5.98,5.98,5.6,5.86,5.7644,39111
2023-05-29,5.86,5.86,5.7,5.78,5.6857,8159
2023-05-30,5.8,5.8,5.62,5.64,5.548,8615
2023-05-31,5.7,5.7,5.54,5.54,5.4496,3094
2023-06-01,5.5,5.7,5.38,5.68,5.5873,7141
2023-06-02,5.72,5.72,5.42,5.5,5.4102,7028
2023-06-05,5.52,5.96,5.5,5.96,5.8627,20018
2023-06-06,6.04,6.1,5.8,5.98,5.8824,4556
2023-06-07,6.04,6.04,5.74,5.8,5.7053,3447
2023-06-09,5.88,6.1,5.8,6.0,5.9021,2774
2023-06-12,5.9,6.46,5.66,5.96,5.8627,25735
2023-06-13,5.96,6.36,5.74,5.9,5.8037,18344
2023-06-14,6.24,6.24,5.86,6.22,6.1185,3308
2023-06-15,6.22,6.78,6.04,6.72,6.6103,22375
2023-06-16,6.8,6.8,6.5,6.74,6.63,3351
2023-06-19,6.84,6.88,6.7,6.82,6.7087,3594
2023-06-20,6.8,7.7,6.64,7.48,7.3579,59293
2023-06-21,7.48,7.56,7.0,7.2,7.0825,29150
2023-06-22,7.16,7.56,7.14,7.38,7.2596,16051
2023-06-23,7.4,7.4,7.2,7.3,7.1809,5280
2023-06-26,7.2,7.36,7.1,7.2,7.0825,2327
2023-06-27,7.2,7.34,7.1,7.24,7.1218,2971
2023-06-28,7.26,7.86,7.26,7.74,7.6137,26199
2023-06-29,7.74,7.76,7.42,7.7,7.5743,2402
2023-06-30,7.6,7.74,7.36,7.7,7.5743,2977
2023-07-03,7.8,7.94,7.58,7.7,7.5743,7883
2023-07-04,7.64,7.8,7.64,7.64,7.5153,2980
2023-07-05,7.52,7.52,7.18,7.52,7.3973,11602
2023-07-06,7.7,7.7,7.16,7.48,7.3579,19227
2023-07-07,7.5,8.08,7.36,7.8,7.6727,41001
2023-07-10,7.86,7.98,7.56,7.6,7.476,9913
2023-07-11,7.76,7.76,7.04,7.14,7.0235,37363
