Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-07,0.789,0.789,0.732,0.733,0.733,98533
2022-12-08,0.756,0.756,0.726,0.742,0.742,21445
2022-12-09,0.75,0.75,0.723,0.723,0.723,73148
2022-12-12,0.76,0.76,0.705,0.71,0.71,45333
2022-12-13,0.71,0.758,0.7,0.714,0.714,62065
2022-12-14,0.71,0.75,0.71,0.71,0.71,89310
2022-12-15,0.73,0.73,0.69,0.691,0.691,82740
2022-12-16,0.72,0.72,0.683,0.684,0.684,69414
2022-12-19,0.706,0.706,0.668,0.687,0.687,112338
2022-12-20,0.669,0.72,0.654,0.67,0.67,47353
2022-12-21,0.67,0.72,0.665,0.703,0.703,42168
2022-12-22,0.7,0.715,0.688,0.7,0.7,22191
2022-12-23,0.714,0.785,0.7,0.772,0.772,99150
2022-12-27,0.796,0.962,0.772,0.86,0.86,424114
2022-12-28,0.88,0.908,0.81,0.866,0.866,179795
2022-12-29,0.86,0.866,0.826,0.863,0.863,37547
2022-12-30,0.863,0.867,0.813,0.85,0.85,27277
2023-01-02,0.86,0.864,0.8,0.81,0.81,109810
2023-01-03,0.811,0.846,0.81,0.812,0.812,44731
2023-01-04,0.839,0.86,0.816,0.86,0.86,130627
2023-01-05,0.864,0.899,0.831,0.87,0.87,84539
2023-01-09,0.87,0.898,0.851,0.87,0.87,22095
2023-01-10,0.877,0.877,0.83,0.87,0.87,31541
2023-01-11,0.87,0.871,0.82,0.82,0.82,132380
