Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-15,2.55,2.675,2.52,2.675,2.675,241836
2023-02-16,2.67,2.67,2.605,2.615,2.615,120861
2023-02-17,2.62,2.65,2.56,2.65,2.65,151750
2023-02-20,2.655,2.655,2.575,2.59,2.59,118107
2023-02-21,2.59,2.595,2.55,2.55,2.55,141350
2023-02-22,2.56,2.56,2.5,2.545,2.545,268658
2023-02-23,2.545,2.565,2.505,2.53,2.53,186388
2023-02-24,2.54,2.565,2.52,2.52,2.52,81020
2023-02-27,2.505,2.56,2.5,2.515,2.515,144700
2023-02-28,2.52,2.565,2.52,2.55,2.55,107543
2023-03-01,2.53,2.615,2.52,2.56,2.56,318814
2023-03-02,2.56,2.56,2.535,2.535,2.535,89650
2023-03-03,2.56,2.56,2.535,2.56,2.56,80289
2023-03-06,2.57,2.57,2.5,2.515,2.515,115275
2023-03-07,2.545,2.55,2.5,2.525,2.525,197993
2023-03-08,2.52,2.525,2.5,2.525,2.525,80118
2023-03-09,2.51,2.535,2.5,2.5,2.5,209047
2023-03-10,2.5,2.51,2.475,2.475,2.475,187288
2023-03-13,2.445,2.485,2.345,2.435,2.435,264938
2023-03-14,2.445,2.455,2.42,2.45,2.45,78460
2023-03-15,2.45,2.45,2.35,2.375,2.375,139207
2023-03-16,2.36,2.415,2.32,2.415,2.415,172122
2023-03-17,2.43,2.45,2.4,2.405,2.405,162566
2023-03-20,2.43,2.465,2.35,2.465,2.465,224686
2023-03-21,2.485,2.645,2.485,2.535,2.535,434965
2023-03-22,2.575,2.62,2.55,2.595,2.595,181913
2023-03-23,2.6,2.8,2.6,2.75,2.75,1007202
2023-03-24,2.77,2.81,2.69,2.81,2.81,579078
2023-03-27,2.85,3.39,2.85,3.33,3.33,2578396
2023-03-28,3.35,3.57,3.12,3.12,3.12,2580985
2023-03-29,3.145,3.55,3.145,3.375,3.375,2029715
2023-03-30,3.46,3.46,3.23,3.38,3.38,787090
2023-03-31,3.39,3.565,3.285,3.44,3.44,1833040
2023-04-03,3.42,4.02,3.42,3.99,3.99,2930388
2023-04-04,4.005,4.38,3.93,3.98,3.98,4127276
2023-04-05,3.98,4.22,3.86,4.0,4.0,2077802
2023-04-06,4.04,4.34,4.0,4.25,4.25,1508869
2023-04-11,4.315,4.92,4.3,4.88,4.88,4230343
2023-04-12,4.895,5.09,4.705,4.87,4.87,3343710
2023-04-13,4.87,5.09,4.745,4.88,4.88,1411210
2023-04-14,4.87,4.98,4.605,4.76,4.76,1580808
2023-04-17,4.8,5.15,4.72,5.12,5.12,3306312
2023-04-18,5.17,5.19,4.855,4.95,4.95,1526373
2023-04-19,4.98,5.07,4.77,4.95,4.95,1184937
2023-04-20,4.94,5.05,4.825,4.9,4.9,686523
2023-04-21,4.83,4.93,4.75,4.87,4.87,715445
2023-04-24,4.85,5.04,4.46,4.9,4.9,2777969
2023-04-25,4.91,5.04,4.73,4.87,4.87,1555619
2023-04-26,4.87,4.95,4.635,4.69,4.69,760824
2023-04-27,4.685,4.685,4.27,4.35,4.35,1771944
2023-04-28,4.44,4.72,4.43,4.55,4.55,1605158
2023-05-02,4.56,4.695,4.48,4.62,4.62,413212
2023-05-04,4.53,4.68,4.5,4.57,4.57,407774
2023-05-05,4.545,4.635,4.51,4.63,4.63,281087
2023-05-08,4.63,5.08,4.63,5.05,5.05,2061351
2023-05-09,5.1,5.15,4.905,5.0,5.0,1003370
2023-05-10,5.0,5.1,4.89,5.05,5.05,545035
