Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-12,0.4165,0.4165,0.411,0.412,0.412,143559
2023-06-13,0.411,0.415,0.411,0.415,0.415,138775
2023-06-14,0.411,0.416,0.4105,0.411,0.411,440792
2023-06-15,0.411,0.42,0.41,0.4195,0.4195,120458
2023-06-16,0.4135,0.425,0.412,0.416,0.416,168188
2023-06-19,0.42,0.42,0.411,0.42,0.42,237849
2023-06-20,0.4195,0.4195,0.4145,0.415,0.415,126804
2023-06-21,0.419,0.42,0.408,0.4145,0.4145,256184
2023-06-22,0.411,0.4285,0.407,0.42,0.42,724868
2023-06-23,0.4275,0.4345,0.424,0.424,0.424,329436
2023-06-26,0.4205,0.4295,0.4205,0.4255,0.4255,184179
2023-06-27,0.4255,0.428,0.415,0.4155,0.4155,67536
2023-06-28,0.4155,0.422,0.407,0.41,0.41,154791
2023-06-29,0.416,0.4165,0.41,0.4145,0.4145,59274
2023-06-30,0.414,0.4165,0.4075,0.416,0.416,116798
2023-07-03,0.418,0.418,0.4105,0.411,0.411,128092
2023-07-04,0.411,0.4175,0.4105,0.416,0.416,41111
2023-07-05,0.4175,0.4175,0.4105,0.4145,0.4145,104532
2023-07-06,0.415,0.415,0.4115,0.415,0.415,55212
2023-07-07,0.415,0.419,0.412,0.4185,0.4185,49005
2023-07-10,0.4185,0.42,0.4115,0.4155,0.4155,83295
2023-07-11,0.419,0.42,0.412,0.42,0.42,140763
2023-07-12,0.414,0.424,0.413,0.4195,0.4195,263833
2023-07-13,0.42,0.4235,0.4145,0.417,0.417,51028
2023-07-14,0.4135,0.418,0.4135,0.415,0.415,157015
2023-07-17,0.415,0.419,0.4115,0.417,0.417,114776
2023-07-18,0.4145,0.4235,0.413,0.4165,0.4165,105218
2023-07-19,0.42,0.4345,0.4155,0.4345,0.4345,288977
2023-07-20,0.4335,0.4335,0.4205,0.4205,0.4205,172895
2023-07-21,0.421,0.4265,0.4205,0.424,0.424,243004
2023-07-24,0.425,0.4385,0.421,0.4295,0.4295,414639
2023-07-25,0.4285,0.44,0.4285,0.437,0.437,197834
2023-07-26,0.437,0.459,0.4335,0.4515,0.4515,607232
2023-07-27,0.45,0.459,0.45,0.4565,0.4565,101562
2023-07-28,0.457,0.479,0.455,0.478,0.478,818409
2023-07-31,0.4795,0.4885,0.473,0.4885,0.4885,447651
2023-08-01,0.4895,0.515,0.4895,0.515,0.515,823142
2023-08-02,0.52,0.549,0.515,0.545,0.545,823392
2023-08-03,0.549,0.562,0.526,0.542,0.542,576409
2023-08-04,0.545,0.545,0.515,0.526,0.526,380553
2023-08-07,0.526,0.531,0.525,0.53,0.53,130290
2023-08-08,0.525,0.53,0.513,0.519,0.519,550558
2023-08-09,0.517,0.524,0.514,0.518,0.518,160219
2023-08-10,0.518,0.538,0.515,0.533,0.533,394420
2023-08-11,0.533,0.539,0.522,0.539,0.539,43404
2023-08-14,0.539,0.549,0.533,0.548,0.548,98545
2023-08-16,0.548,0.548,0.532,0.535,0.535,104244
2023-08-17,0.533,0.54,0.53,0.54,0.54,135956
2023-08-18,0.544,0.544,0.523,0.529,0.529,96930
2023-08-21,0.529,0.541,0.529,0.54,0.54,84394
2023-08-22,0.534,0.549,0.534,0.541,0.541,66427
2023-08-23,0.549,0.549,0.54,0.546,0.546,52324
2023-08-24,0.546,0.546,0.522,0.533,0.533,225221
2023-08-25,0.533,0.533,0.52,0.528,0.528,64337
2023-08-28,0.528,0.53,0.519,0.529,0.529,86482
2023-08-29,0.53,0.533,0.525,0.53,0.53,55153
2023-08-30,0.53,0.533,0.523,0.533,0.533,50458
