Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-24,12.2,12.5,11.65,12.0,12.0,7875
2023-01-25,11.95,11.95,11.65,11.8,11.8,2038
2023-01-26,11.9,12.6,11.9,12.1,12.1,7999
2023-01-27,12.35,12.5,12.15,12.2,12.2,847
2023-01-30,12.4,12.55,12.15,12.3,12.3,2614
2023-01-31,12.55,12.8,12.15,12.3,12.3,2877
2023-02-01,12.5,12.5,12.1,12.1,12.1,2105
2023-02-02,12.45,12.45,12.0,12.1,12.1,1993
2023-02-03,12.1,12.35,12.0,12.05,12.05,535
2023-02-06,12.25,12.5,11.05,11.3,11.3,16434
2023-02-07,12.0,14.5,12.0,14.5,14.5,22687
2023-02-08,16.55,18.2,15.75,15.95,15.95,118341
2023-02-09,15.95,20.0,15.7,18.55,18.55,115143
2023-02-10,18.4,19.6,17.4,17.95,17.95,37267
2023-02-13,17.3,18.15,16.3,16.65,16.65,22530
2023-02-14,16.6,16.8,14.6,14.85,14.85,53001
2023-02-15,14.95,15.85,14.95,15.3,15.3,15832
2023-02-16,15.5,15.9,15.0,15.05,15.05,10140
2023-02-17,15.15,15.65,14.65,14.95,14.95,9655
2023-02-20,15.2,15.4,14.6,14.9,14.9,9042
2023-02-21,15.15,15.15,14.65,14.95,14.95,2043
