Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-05,0.445,0.445,0.418,0.42,0.42,17456
2022-12-06,0.43,0.43,0.429,0.429,0.429,5
2022-12-07,0.429,0.44,0.417,0.435,0.435,11718
2022-12-08,0.44,0.44,0.417,0.417,0.417,6938
2022-12-09,0.435,0.435,0.418,0.427,0.427,8596
2022-12-12,0.422,0.422,0.417,0.417,0.417,8015
2022-12-13,0.418,0.435,0.413,0.414,0.414,7305
2022-12-14,0.419,0.422,0.412,0.42,0.42,15357
2022-12-15,0.429,0.434,0.412,0.429,0.429,21069
2022-12-16,0.433,0.433,0.412,0.424,0.424,5900
2022-12-19,0.413,0.417,0.4,0.415,0.415,43979
2022-12-20,0.416,0.416,0.392,0.406,0.406,28563
2022-12-21,0.424,0.424,0.393,0.405,0.405,4072
2022-12-22,0.435,0.602,0.435,0.602,0.602,297874
2022-12-23,0.8,0.94,0.75,0.94,0.94,884154
2022-12-27,0.93,0.94,0.772,0.812,0.812,713270
2022-12-28,0.812,0.96,0.81,0.9,0.9,750951
2022-12-29,0.9,0.93,0.86,0.898,0.898,151676
2022-12-30,0.88,0.928,0.862,0.906,0.906,219224
2023-01-02,0.916,0.916,0.868,0.88,0.88,87850
2023-01-03,0.918,0.918,0.868,0.874,0.874,65979
2023-01-04,0.87,0.9,0.868,0.868,0.868,82464
2023-01-05,0.86,0.898,0.836,0.87,0.87,60583
2023-01-09,0.854,0.89,0.79,0.826,0.826,106111
2023-01-10,0.83,0.83,0.752,0.788,0.788,93732
2023-01-11,0.792,0.792,0.75,0.75,0.75,48602
2023-01-12,0.75,0.796,0.75,0.75,0.75,40566
2023-01-13,0.778,0.78,0.738,0.76,0.76,20531
