Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-02,12.0,12.18,11.9,12.16,12.16,10501
2023-01-03,12.14,12.2,11.8,12.18,12.18,7531
2023-01-04,12.16,12.18,11.84,12.06,12.06,6889
2023-01-05,12.1,12.12,11.8,11.96,11.96,7517
2023-01-09,12.7,14.92,12.7,14.78,14.78,273932
2023-01-10,14.56,14.58,13.76,13.98,13.98,63826
2023-01-11,14.0,14.18,13.1,13.48,13.48,33340
2023-01-12,13.48,14.0,13.36,13.88,13.88,14387
2023-01-13,13.78,13.78,12.96,13.3,13.3,42199
2023-01-16,13.18,14.1,12.8,13.4,13.4,71174
2023-01-17,13.16,13.66,12.9,13.36,13.36,21411
2023-01-18,13.4,13.4,12.76,13.0,13.0,19994
2023-01-19,13.1,16.44,12.8,14.52,14.52,203845
2023-01-20,14.52,15.22,14.08,14.76,14.76,83389
2023-01-23,14.76,15.3,14.46,15.1,15.1,32167
2023-01-24,15.16,16.1,15.16,16.1,16.1,46228
2023-01-25,16.2,18.7,16.0,17.7,17.7,167938
2023-01-26,17.5,18.0,16.02,16.32,16.32,97274
2023-01-27,16.34,16.56,15.86,16.18,16.18,43831
2023-01-30,16.36,16.88,15.42,15.6,15.6,36690
2023-01-31,15.76,16.74,15.56,16.6,16.6,70554
2023-02-01,16.62,18.18,16.62,17.96,17.96,134705
2023-02-02,18.44,18.68,17.54,17.96,17.96,43651
2023-02-03,18.14,20.1,17.7,20.05,20.05,77111
2023-02-06,21.2,24.4,20.85,23.55,23.55,223421
2023-02-07,23.45,23.45,21.0,21.0,21.0,161679
2023-02-08,21.1,21.55,19.8,20.45,20.45,79377
2023-02-09,20.75,21.2,18.84,19.1,19.1,175594
2023-02-10,19.1,19.58,17.9,18.06,18.06,136038
