Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-07,106.8,113.0,105.5,108.3,108.3,55453
2022-11-08,109.1,110.8,106.5,110.6,110.6,29157
2022-11-09,111.3,113.9,108.2,108.9,108.9,23913
2022-11-10,108.6,112.7,106.6,111.0,111.0,41614
2022-11-14,112.9,118.8,112.7,116.9,116.9,86495
2022-11-15,117.5,117.5,113.7,113.9,113.9,33398
2022-11-16,111.9,116.0,111.1,115.2,115.2,35507
2022-11-17,115.8,116.0,107.4,108.2,108.2,43549
2022-11-18,109.9,112.9,108.0,110.5,110.5,23005
2022-11-21,110.6,111.8,103.4,104.6,104.6,34287
2022-11-22,105.8,127.0,105.8,127.0,127.0,204676
2022-11-23,129.1,138.0,125.1,131.2,131.2,150561
2022-11-24,131.2,137.4,127.1,137.4,137.4,74548
2022-11-25,136.5,141.0,134.5,135.2,135.2,41763
2022-11-28,135.3,137.4,130.7,134.0,134.0,30844
2022-11-29,134.6,136.9,128.9,136.9,136.9,39521
2022-11-30,136.8,143.8,134.6,135.1,135.1,60914
2022-12-01,137.0,138.0,131.8,132.1,132.1,32043
2022-12-02,133.5,140.5,132.5,139.5,139.5,66353
2022-12-05,140.0,145.5,140.0,142.6,142.6,52125
2022-12-06,142.9,143.1,137.4,139.0,139.0,43101
2022-12-07,138.8,142.9,137.8,141.5,141.5,22923
2022-12-08,141.5,141.5,135.3,136.4,136.4,28433
2022-12-09,137.7,141.2,136.0,141.1,141.1,42464
