Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-04,20.3,21.0,18.05,18.15,18.15,261993
2022-10-05,17.95,18.5,16.55,16.6,16.6,229121
2022-10-06,17.0,17.8,16.05,17.2,17.2,329936
2022-10-07,16.95,19.0,16.75,19.0,19.0,185421
2022-10-10,19.0,19.1,17.1,17.5,17.5,250207
2022-10-11,17.3,18.7,17.15,18.0,18.0,156300
2022-10-12,18.15,18.7,17.7,17.95,17.95,99897
2022-10-13,17.85,18.9,17.55,18.4,18.4,147007
2022-10-14,18.8,19.1,17.45,17.45,17.45,126478
2022-10-17,17.45,17.95,16.9,17.4,17.4,64154
2022-10-18,17.35,19.9,17.15,19.65,19.65,261051
2022-10-19,19.8,21.7,18.75,20.8,20.8,335446
2022-10-20,20.8,22.6,20.3,21.1,21.1,179073
2022-10-21,21.1,21.5,20.2,20.7,20.7,62970
2022-10-24,20.7,21.2,19.3,19.3,19.3,135800
2022-10-25,19.4,20.3,19.1,19.95,19.95,68231
2022-10-26,19.95,20.8,19.8,20.4,20.4,70441
2022-10-27,19.85,20.4,19.7,19.8,19.8,58910
2022-10-28,19.75,20.2,19.35,19.95,19.95,40183
2022-10-31,20.0,23.2,19.55,22.2,22.2,220858
