Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-15,2162.79,2174.28,2095.29,2101.55,2101.55,29280000
2023-03-16,2123.71,2126.13,2057.09,2103.69,2103.69,36890000
2023-03-17,2123.98,2131.4,2058.29,2067.29,2067.29,52800000
2023-03-20,2036.14,2081.33,2005.61,2078.08,2078.08,27900000
2023-03-21,2095.11,2121.59,2089.4,2115.4,2115.4,29720000
2023-03-22,2111.28,2131.39,2098.02,2100.41,2100.41,22030000
2023-03-23,2095.86,2107.09,2068.02,2098.02,2098.02,16580000
2023-03-24,2088.18,2088.18,2044.3,2055.14,2055.14,23010000
2023-03-27,2074.92,2083.74,2050.17,2074.11,2074.11,14770000
2023-03-28,2090.23,2106.89,2076.92,2085.49,2085.49,22700000
2023-03-29,2101.51,2108.3,2075.21,2105.21,2105.21,25910000
2023-03-30,2120.5,2174.57,2120.5,2174.54,2174.54,37610000
2023-03-31,2189.16,2190.39,2163.38,2169.49,2169.49,25410000
2023-04-03,2179.43,2210.75,2176.95,2186.65,2186.65,22550000
2023-04-04,2199.56,2212.64,2182.23,2185.21,2185.21,16420000
2023-04-05,2188.76,2188.76,2159.89,2164.17,2164.17,19580000
2023-04-06,2170.8,2175.43,2155.88,2162.16,2162.16,11110000
2023-04-11,2178.89,2204.45,2167.44,2197.8,2197.8,23510000
2023-04-12,2195.25,2243.32,2186.62,2238.54,2238.54,28620000
2023-04-13,2233.24,2274.87,2229.36,2268.44,2268.44,31860000
2023-04-14,2280.96,2297.84,2273.3,2284.55,2284.55,28350000
2023-04-17,2293.39,2301.2,2285.0,2295.63,2295.63,21950000
2023-04-18,2300.96,2354.68,2293.04,2337.59,2337.59,23500000
2023-04-19,2328.88,2343.7,2307.54,2337.64,2337.64,19300000
2023-04-20,2337.82,2375.24,2337.82,2357.81,2357.81,26410000
2023-04-21,2335.49,2346.32,2321.61,2342.22,2342.22,19310000
2023-04-24,2335.45,2361.78,2323.07,2351.72,2351.72,15390000
2023-04-25,2344.63,2351.23,2323.08,2325.98,2325.98,18910000
2023-04-26,2322.52,2338.82,2300.55,2320.22,2320.22,22390000
2023-04-27,2329.06,2398.31,2329.06,2394.3,2394.3,20880000
2023-04-28,2402.75,2402.75,2358.71,2364.86,2364.86,21810000
2023-05-02,2368.73,2401.51,2360.04,2360.04,2360.04,19980000
2023-05-04,2360.61,2376.9,2314.79,2319.32,2319.32,27250000
2023-05-05,2331.11,2357.62,2322.39,2354.74,2354.74,17360000
2023-05-08,2363.95,2386.26,2357.7,2372.0,2372.0,20520000
2023-05-09,2365.94,2369.04,2348.7,2367.96,2367.96,16830000
2023-05-10,2375.69,2409.88,2359.35,2383.81,2383.81,33920000
2023-05-11,2384.96,2397.78,2361.53,2366.83,2366.83,25410000
2023-05-12,2374.13,2404.17,2365.83,2390.37,2390.37,30330000
2023-05-15,2406.16,2413.9,2381.33,2391.22,2391.22,24940000
2023-05-16,2385.7,2414.65,2380.75,2400.76,2400.76,17820000
2023-05-17,2392.14,2394.74,2376.08,2378.09,2378.09,26000000
