Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-29,0.8,0.8,0.77,0.8,0.8,9745
2023-03-30,0.814,0.814,0.78,0.78,0.78,1504
2023-03-31,0.78,0.79,0.77,0.77,0.77,10800
2023-04-03,0.77,0.77,0.744,0.744,0.744,8651
2023-04-04,0.744,0.744,0.744,0.744,0.744,1743
2023-04-05,0.76,0.76,0.76,0.76,0.76,513
2023-04-06,0.78,0.78,0.744,0.744,0.744,1100
2023-04-11,0.742,0.816,0.732,0.74,0.74,71922
2023-04-12,0.76,0.85,0.742,0.836,0.836,145465
2023-04-13,0.84,1.01,0.84,0.93,0.93,142979
2023-04-14,0.9,1.07,0.862,0.9,0.9,124971
2023-04-17,0.89,0.93,0.85,0.902,0.902,62819
2023-04-18,0.91,0.91,0.88,0.88,0.88,161
2023-04-19,0.88,1.165,0.852,1.085,1.085,210396
2023-04-20,1.125,1.14,0.916,1.0,1.0,151175
2023-04-21,1.015,1.02,0.92,0.92,0.92,69928
2023-04-24,0.92,0.92,0.892,0.892,0.892,11368
2023-04-25,0.892,0.892,0.892,0.892,0.892,9410
2023-04-26,0.892,0.892,0.87,0.88,0.88,9940
